ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07CL42F4Y,Aniwon 3PCS Mouth Cover Kid Cotton Mask Cute Cartoon Breathable Kid Face Mask Cycling Mask,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$6.99,$4.24,2.75,"31,287,896",,60,1,Life Dominater,,"""3.937"" x ""3.937"" x ""3.937""",Standard (Large),0.1521
B07KZQ494R,Aniwon 4 Pack Mouth Masks Cute Anti Dust Cotton Face Mask Adjustable Face Mouth Mask for Boys and Girls,Aniwon,Health & Household,$0,0,$7.99,$4.39,3.6,"281,482",459,63,1,Zoylink,4.4,"""1.1417"" x ""5.315"" x ""5.9055""",Standard (Large),0.1213
B07CBQCZQ3,Aniwon 4PCS Baby Pacifier Holder Pacifier Clip Classic Pacifier Leash Infant Pacifier Clip,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$5.99,$4.19,1.8,"14,555,214",,60,1,Life Dominater,,"""3.937"" x ""3.937"" x ""1.5748""",Standard (Large),0.0816
B07DCNS82B,Aniwon 4Pcs Hair Clips Retro Feather barrettes Hair Accessories for Women,Aniwon,Beauty & Personal Care,$0,0,$5.59,$4.19,1.4,"2,008,571",,56,1,Life Dominater,,"""4.7244"" x ""3.1496"" x ""1.1811""",Standard (Large),0.2403
B07DCPVBB8,Aniwon 5 Pairs Women's Crew Socks Letters Printed Funny Socks Cotton Socks Athletic Socks,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$9.99,$4.69,5.3,"4,678,802",,59,1,Life Dominater,,"""7.874"" x ""3.937"" x ""3.1496""",Standard (Large),0.4057
B07CGG4XBH,Aniwon 50PCS Mouth Masks Disposable Mask 3 Layers Anti Dust Mouth Cover Disposable Face Mask,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$5.99,$4.19,1.8,"28,563,746",,61,1,Life Dominater,,"""7.87"" x ""4.13"" x ""3.94""",Standard (Large),0.33
B07LCF2L8F,Aniwon 6 Pairs Do Not Disturb I'm Gaming Crew Socks Casual Socks Creative Fashion Letter Novelty Socks,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$13.99,N.A.,N.A.,"4,537,561",56,56,1,Zoylink,4.3,"""0"" x ""0"" x ""0""",,0
B07CLMFCDC,Aniwon 6PCS Filter Mask Mouth Mask PM2.5 Active Carbon Cycling Mask Cotton Filter Mask,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$4.99,$4.19,0.8,"7,957,716",,60,1,Life Dominater,,"""7.874"" x ""5.1181"" x ""1.9685""",Standard (Large),0.2205
B07CVW518R,Aniwon 6PCS Hair Clips Decorative Alloy Hair Barrettes Hair Pins Bobby Pins Hair Accessories for Women,Aniwon,Beauty & Personal Care,$0,0,$4.48,$3.41,1.07,"2,120,402",,62,1,Life Dominater,,"""7.0866"" x ""4.7244"" x ""0.3937""",Standard (Small),0.1543
B07CKSHKVM,Aniwon 8PCS Luggage Label Bag Tag Set Candy Color Baggage Label Travel Tag for Suitcase,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$7.99,$4.39,3.6,"18,501,648",,59,1,Life Dominater,,"""3.1496"" x ""3.1496"" x ""1.1811""",Standard (Large),0.2513
B07C3L73XJ,Aniwon 8Pcs Womens Hair Clips Hollow Double Triangle Loop Barrettes Clamps Round Moon Bowknot Metal Hairpins Bobby Pin Styling Accessories for Girls and Women,Aniwon,Beauty & Personal Care,$0,0,$5.99,$4.19,1.8,"1,371,887",,45,1,Life Dominater,,"""4.72"" x ""3.94"" x ""3.15""",Standard (Large),0.15
B07C13NMMT,Aniwon Baby Bib Infant Bib Double Layer Absorbent Baby Cotton Bib with Baby Teether Toy,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$13.99,$9.95,4.04,"17,188,745",,61,1,Life Dominater,,"""19.29"" x ""10.63"" x ""1.97""",Oversize (Small),1.26
B07DDDB1YR,Aniwon Baby Clothes Lace Cute Bowknot Photography Prop Infant Photography Costume with Headband …,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$5.95,$4.19,1.76,"12,912,865",,62,1,Life Dominater,,"""5.9055"" x ""3.937"" x ""3.937""",Standard (Large),0.1653
