ASIN,Product Name,Brand,Category,Est. Monthly Revenue,Est. Monthly Sales,Price,Fees,Net,Rank,Reviews,LQS,Sellers,Buy Box Owner,Rating,Dimensions,Product Tier,Weight
B07QYQH7ZP,"Aniwon Pearls Hair Scrunchies, 8 Pack Chiffon Bow Elastic Hair Bands Bowknot Hair Ties Ponytail Holder Silk Scrunchies Hair Accessories for Women Girls Ladies",Aniwon,Beauty & Personal Care,$0,0,$11.99,$4.99,7,"594,428",13,68,1,Life Dominater,4.3,"""1.1811"" x ""1.2205"" x ""7.2441""",Standard (Large),0.1962
B07H923GH9,"Aniwon Pillbox Hat, Wedding Hat with Veil Vintage Bow Fascinator Hats for Women (Wine Red)",Aniwon,"Clothing, Shoes & Jewelry",$2397.6,240,$9.99,$4.69,5.3,"87,075",1,57,2,Zoylink,5,"""4.5669"" x ""11.6142"" x ""12.0079""",Standard (Large),0.2183
B07KZWHXG9,"Aniwon Pillbox Hat, Wedding Hat with Veil Vintage Bow Fascinator Hats for Women …",Aniwon,"Clothing, Shoes & Jewelry",$2998.5,150,$19.99,N.A.,N.A.,"113,767",240,56,1,Zoylink,4,"""0"" x ""0"" x ""0""",,0
B07H922BG2,"Aniwon Pillbox Hat, Wedding Hat with Veil Vintage Bow Fascinator Hats for Women …",Aniwon,"Clothing, Shoes & Jewelry",$1258.2,180,$6.99,$8.61,-1.62,"105,451",241,58,1,Zoylink,4,"""3.622"" x ""15.5118"" x ""17.4803""",Oversize (Small),0.4982
B07H91X2XH,"Aniwon Pillbox Hat, Wedding Hat with Veil Vintage Bow Fascinator Hats for Women …",Aniwon,"Clothing, Shoes & Jewelry",$2472.75,225,$10.99,$4.84,6.15,"64,161",241,58,1,Zoylink,4,"""3.3071"" x ""11.8504"" x ""14.5276""",Standard (Large),0.2954
B00WW8P6NY,"Aniwon Pillbox Hat, Wedding Hat with Veil Vintage Bow Fascinator Hats for Women …",Aniwon,"Clothing, Shoes & Jewelry",$4377.49,151,$28.99,$7.54,21.45,"143,722",241,58,2,Zoylink,4,"""8.1"" x ""7.8"" x ""2.4""",Standard (Large),0.05
B07KZWQ8KW,"Aniwon Pillbox Hat, Wedding Hat with Veil Vintage Bow Fascinator Hats for Women …",Aniwon,"Clothing, Shoes & Jewelry",$2248.5,150,$14.99,N.A.,N.A.,"120,103",241,56,2,Zoylink,4,N.A.,,
B07GQN61DK,"Aniwon Pillbox Hat, Wedding Hat with Veil Vintage Bow Fascinator Hats for Women …",Aniwon,"Clothing, Shoes & Jewelry",$1887.9,210,$8.99,N.A.,N.A.,"91,871",240,63,1,Zoylink,4,"""0"" x ""0"" x ""0""",,0
B07149LM9M,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women,Aniwon,"Clothing, Shoes & Jewelry",$4286.1,390,$10.99,$4.84,6.15,"53,109",1153,56,2,Zoylink,4,"""4.61"" x ""3.9"" x ""0.91""",Standard (Large),0.05
B0711LGB8S,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women,Aniwon,"Clothing, Shoes & Jewelry",$4045.5,450,$8.99,$3.76,5.23,"82,148",1155,60,2,Zoylink,4,"""4.29"" x ""3.11"" x ""0.71""",Standard (Small),0.04
B07HB2LV2T,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women,Aniwon,"Clothing, Shoes & Jewelry",$1436.4,360,$3.99,N.A.,N.A.,"59,417",1155,63,1,Zoylink,4,"""0.5118"" x ""4.4882"" x ""5.4724""",,0.0705
B074M86T79,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women,Aniwon,"Clothing, Shoes & Jewelry",$6235.2,480,$12.99,$4.36,8.63,"37,638",1157,64,2,Zoylink,4,"""4.21"" x ""3.5"" x ""0.59""",Standard (Small),0.1
B0711LHZQP,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women,Aniwon,"Clothing, Shoes & Jewelry",$7012.2,780,$8.99,$4.54,4.45,"27,388",1081,51,1,Zoylink,4,"""3.11"" x ""2.52"" x ""1.1""",Standard (Large),0.04
B07TYSSMZT,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women,Aniwon,"Clothing, Shoes & Jewelry",$6235.2,480,$12.99,$5.14,7.85,"57,535",1155,64,2,Zoylink,4,"""0.87"" x ""5.2"" x ""6.14""",Standard (Large),0.2006
B00SZO91U8,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women,Aniwon,"Clothing, Shoes & Jewelry",$4584.9,510,$8.99,$4.54,4.45,"51,310",1158,58,2,Zoylink,4,"""5.4"" x ""5.4"" x ""0.9""",Standard (Large),0.1
B07HB2MCW9,Aniwon Punk Style Wedding Party Black Lace Choker Beads Tassels Chain Pendant Necklace Earring Set for Women (Black5),Aniwon,"Clothing, Shoes & Jewelry",$0,0,$6.99,$3.46,3.53,"2,707,284",4,63,3,Zoylink,5,"""0.5118"" x ""4.4882"" x ""5.4724""",Standard (Small),0.0705
B07BNDLSVP,Aniwon Sleeve Bibs Waterproof Long Apron Art Smock Painting Apron for Kids,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$4.6,$3.41,1.19,"28,768,398",,57,1,Cherubaby,,"""5.9055"" x ""4.7244"" x ""0.3937""",Standard (Small),0.1124
B012V82SNA,Aniwon Sun Hat Beach Straw Hat Church Wide Brim Derby Cap with Flower for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$14.98,$5.44,9.54,"4,828,317",9,45,1,Fascigirl Direct,4.7,"""10.6"" x ""10.4"" x ""5.3""",Standard (Large),0.4
B07DCPGTZ7,Aniwon Turban Beanie Stylish Pearls Turban Cap Turban Headwear Turban Head Wrap,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.98,$4.54,4.44,"7,093,203",,48,1,Life Dominater,,"""7.0866"" x ""3.1496"" x ""3.937""",Standard (Large),0.291
B018DM0FBU,Aniwon Veil Fascinator Mini Pillbox Hat Cocktail Tea Party Hat for Ladies,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,N.A.,N.A.,"17,516,338",0,39,1,Fascigirl Direct,0,N.A.,True,0.2
B018DM0H0O,Aniwon Veil Fascinator Mini Pillbox Hat Cocktail Tea Party Hat for Ladies,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,N.A.,N.A.,"17,768,421",0,54,1,Fascigirl Direct,0,"""0"" x ""0"" x ""0""",True,0.2
B017VTWJRE,Aniwon Veil Pillbox Hat Flower Fascinator Cocktail Party Headwear for Girls,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$10.89,N.A.,N.A.,"4,931,595",3,34,1,Fascigirl Direct,4.1,N.A.,True,
B017VTWIPW,Aniwon Veil Pillbox Hat Flower Fascinator Cocktail Party Headwear for Girls,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$10.19,$4.72,5.47,"4,944,979",3,54,1,Fascigirl Direct,4.1,"""6.2"" x ""5.9"" x ""0.8""",Standard (Large),0.02
B017VTWHLW,Aniwon Veil Pillbox Hat Flower Fascinator Cocktail Party Headwear for Girls,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$10.13,$4.71,5.42,"4,902,194",3,54,1,Fascigirl Direct,4.1,"""6.2"" x ""5.9"" x ""0.8""",Standard (Large),0.02
B07HB2W29Z,Aniwon Vintage Black Lace Skull Choker Necklace for Women Girls Halloween Decorations Party Accessory,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$7.99,$3.61,4.38,"2,682,630",1,61,1,Zoylink,5,"""0.5118"" x ""4.4882"" x ""5.4724""",Standard (Small),0.0705
B07TR4X4GL,"Aniwon White DIY Masks with Feathers, 12-Pack Paper Blank Plain Full Face Half Face Masks Natural Feathers Colors Set for Halloween Mardi Gras Cosplay Masquerade Dance Party",Aniwon,"Clothing, Shoes & Jewelry",$1138.8,60,$18.98,$6.04,12.94,"245,822",3,69,2,Life Dominater,5,"""5.1"" x ""7.3"" x ""9.4""",Standard (Large),0.7496
B07D13J9X1,Aniwon Women Bride Accessories Wedding Bracelet Flower Corsage with Pearl Chain(Beige),Aniwon,"Clothing, Shoes & Jewelry",$0,0,$4.29,$4.19,0.1,"6,008,301",2,37,1,Life Dominater,2.9,"""3.5433"" x ""3.5433"" x ""2.7559""",Standard (Large),0.0595
B01CHPM4H2,"Aniwon Women Feather Fascinator Sinamay Pillbox Hat Hair Clip Cocktail Tea Party Hat (Free Size, Navy)",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$20.99,$6.34,14.65,"11,283,204",2,59,1,Fascigirl Direct,4.5,"""11.6"" x ""9.7"" x ""2.6""",Standard (Large),0.1
B017VRM02U,Aniwon Women Feather Fascinator Sinamay Pillbox Hat Hair Clip Cocktail Tea Party Hat Beige,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$20.99,$6.34,14.65,"6,813,930",2,37,1,Fascigirl Direct,2.5,"""11.6"" x ""9.7"" x ""2.6""",Standard (Large),0.1
B017VRLY2C,Aniwon Women Feather Fascinator Sinamay Pillbox Hat Hair Clip Cocktail Tea Party Hat Pink,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$20.99,$6.34,14.65,"11,130,304",9,42,1,Fascigirl Direct,3.4,"""11.6"" x ""9.7"" x ""2.6""",Standard (Large),0.1
B00QG4Q350,Aniwon Women Girls Crochet Socks Knit Thigh High Booties Stockings Over Knee Leg Warmers,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"1,590,980",33,58,1,Fascigirl Direct,3.8,"""8.1"" x ""5.1"" x ""2""",Standard (Large),0.3
B01MF6A11P,Aniwon Women Girls Crochet Socks Knit Thigh High Booties Stockings Over Knee Leg Warmers,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"1,666,986",33,58,1,Fascigirl Direct,3.8,"""8.1"" x ""5.1"" x ""2""",Standard (Large),0.3
B00QG4Q37I,Aniwon Women Girls Crochet Socks Knit Thigh High Booties Stockings Over Knee Leg Warmers,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"1,786,939",33,58,1,Fascigirl Direct,3.8,"""8.1"" x ""5.1"" x ""2""",Standard (Large),0.3
B01MEDJUF9,Aniwon Women Girls Crochet Socks Knit Thigh High Booties Stockings Over Knee Leg Warmers,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"1,605,384",33,58,1,Fascigirl Direct,3.8,"""8.1"" x ""5.1"" x ""2""",Standard (Large),0.3
B00QG4Q3RI,Aniwon Women Girls Crochet Socks Knit Thigh High Booties Stockings Over Knee Leg Warmers,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"1,601,618",33,53,1,Fascigirl Direct,3.8,"""8.1"" x ""5.1"" x ""2""",Standard (Large),0.3
B00QG4Q3NW,Aniwon Women Girls Crochet Socks Knit Thigh High Booties Stockings Over Knee Leg Warmers,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"1,590,980",2,48,1,Fascigirl Direct,5,"""8.1"" x ""5.1"" x ""2""",Standard (Large),0.3
B075MXDBRB,Aniwon Women Girls Crochet Socks Knit Thigh High Booties Stockings Over Knee Leg Warmers,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.68,$4.94,6.74,"1,601,618",33,48,1,Fascigirl Direct,3.8,"""3.94"" x ""3.94"" x ""3.94""",Standard (Large),0.44
B07C5567JB,Aniwon Women Hair Claw Hair Clamp Creative Triangle Marble Pattern Hair Clip for Women and Girl,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$4.99,$4.19,0.8,"10,980,217",2,55,1,Life Dominater,3.2,"""3.937"" x ""2.3622"" x ""2.3622""",Standard (Large),0.1764
B07DK8QXY9,Aniwon Women Party Luxury Feather Flower Tassel Flapper Black Headpiece,Aniwon,Beauty & Personal Care,$0,0,$10.99,$4.84,6.15,"1,373,487",,54,1,Life Dominater,,"""3.937"" x ""3.937"" x ""3.1496""",Standard (Large),0.1235
B00PDH22Y2,Aniwon Women's 3pcs Lace Stockings Garter Belt G-string Sexy Lingerie Set,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.23,N.A.,N.A.,"1,817,817",25,35,1,Fascigirl Direct,3.3,N.A.,True,
B07JG2S1S3,Aniwon Women's Choker Necklace Fashionable Retro Spider Charm Necklace Tattoo Necklace for Halloween (E),Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,N.A.,N.A.,"3,776,915",2,63,1,Reviews,4.5,N.A.,,
B0181S7BUY,Aniwon Women's Fascinator Hair Hoop Cocktail Hat With Feather Flower,Fascigirl,"Clothing, Shoes & Jewelry",$0,0,$12.99,$5.14,7.85,"11,422,108",3,54,1,Fascigirl Direct,4,"""13.4"" x ""3.8"" x ""3.4""",Standard (Large),0.1
B012W746OY,Aniwon Women's Straw Hat Ribbon Flower Sun Hat Wide Brim Bridal Church Derby Cap,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$22.99,N.A.,N.A.,"3,404,160",10,36,1,Fascigirl Direct,4.6,N.A.,True,
B012W73MJO,Aniwon Women's Straw Hat Ribbon Flower Sun Hat Wide Brim Bridal Church Derby Cap,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$21.54,$6.42,15.12,"3,494,115",11,56,1,Fascigirl Direct,4.8,"""13"" x ""12"" x ""6.2""",Standard (Large),0.4
B07DMGQJ65,Aniwon Womens Hairband Rabbit Ear Headband Leaves Printed Wire Fresh Bowknot Hair Wrap Decor Headband,Aniwon,Sports & Outdoors,$0,0,$3.98,$3.41,0.57,"3,523,961",,61,1,Life Dominater,,"""4.7244"" x ""3.937"" x ""0.3937""",Standard (Small),0.1102
B07H8ZL4V9,Aniwon Wool Wide Brim Trendy Flat Top Fedora Hat Retro Trilby Jazz Cap for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.99,$4.99,7,"1,420,532",14,37,1,Zoylink,3.7,"""1.4"" x ""10.9"" x ""12.6""",Standard (Large),0.1499
B07BFS3MHD,"Baby Breathable Hat, Aniwon Toddler Sun Cap UV Protection Wide Brim Beach Cap Bucket Hat for Infant",Aniwon,Sports & Outdoors,$0,0,$5.99,$3.41,2.58,"949,981",1,61,1,Cherubaby,5,"""5.91"" x ""4.72"" x ""0.39""",Standard (Small),0.24
B07HNWG8KB,"Baby Christmas Socks,Aniwon 4 Pairs Christmas Kids Socks Cartoon Thickened Fuzzy Socks Cotton Socks for Kids",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$18.97,$6.04,12.93,"548,581",1,47,1,Zoylink,1,"""3.3858"" x ""9.252"" x ""10.5512""",Standard (Large),0.3417
B07PGRMRMJ,"Bat Halloween Headband, Aniwon 4Pcs Glitter Wings Headwear Bow Cute Cartoon Hair Hoop Headress Party Cosplay Costume Accessory for Kids Women Girl",Aniwon,Beauty & Personal Care,$0,0,$6.99,$3.46,3.53,"301,121",54,68,1,Life Dominater,4,"""7.09"" x ""5.91"" x ""0.2""",Standard (Small),0.11
B07V1MG139,"Bat Halloween Headband, Aniwon 4Pcs Glitter Wings Headwear Bow Cute Cartoon Hair Hoop Headress Party Cosplay Costume Accessory for Kids Women Girl",Aniwon,Beauty & Personal Care,$0,0,$6.99,$4.24,2.75,"299,917",54,68,1,Life Dominater,4,"""1.9"" x ""11"" x ""11.6""",Standard (Large),0.2998
B07PHCZSNF,"Bat Halloween Headband, Aniwon 4Pcs Glitter Wings Headwear Bow Cute Cartoon Hair Hoop Headress Party Cosplay Costume Accessory for Kids Women Girl",Aniwon,Beauty & Personal Care,$0,0,$6.99,N.A.,N.A.,"542,644",55,68,1,Life Dominater,4,"""6"" x ""6"" x ""0.25""",,0.06
B018FL42E0,Bowler Hat Cat Ear Billycock Wedding Party Cloche Hat for Women Black,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,N.A.,N.A.,"12,632,505",1,48,1,Fascigirl Direct,5,"""0"" x ""0"" x ""0""",,0.2205
B07WM4F4GK,"Christmas Cotton Socks,Aniwon 6 Pairs Funny Christmas Holiday Socks Printed Crew Socks Soft Warm Winter Casual Socks for Women Men",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,$4.54,4.45,"1,266,475",10,64,1,Zoylink,4.2,"""1.8"" x ""6.2"" x ""10""",Standard (Large),0.4497
B07J3ZWPJS,"Christmas Reindeer Headbands,Aniwon 6PCS Xmas Headband Hairbands Headwear with Cute Elk Antlers for Kids Adults Christmas Party Supplies",Aniwon,Beauty & Personal Care,$0,0,$10.99,$4.84,6.15,"594,135",5,42,1,Life Dominater,4,"""3.2677"" x ""8.622"" x ""9.2913""",Standard (Large),0.2491
B07HB29M3Q,"Christmas Socks for Women,Aniwon 6 Pairs Christmas Fuzzy Socks Soft Cozy Socks Warm Socks Holiday Crew Socks",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$15.99,$5.59,10.4,"791,216",33,61,2,Zoylink,4,"""3.23"" x ""7.8"" x ""8.82""",Standard (Large),0.6504
B07HQM1L7F,"Christmas Socks,Aniwon 6-Pair Xmas Fuzzy Cozy Slipper Socks Winter Warm Thick Home Socks For Women Girls",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.89,N.A.,N.A.,"489,435",18,60,1,Life Dominater,4.9,N.A.,,
B07J4K4K7L,"Christmas Toe Socks,Aniwon 5 Pairs Funny Five Finger Christmas Printed Socks Cotton Holiday Socks for Women",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.99,$4.99,7,"2,124,799",4,65,2,Zoylink,5,"""3.5433"" x ""4.8031"" x ""7.0866""",Standard (Large),0.3527
B018LB2HA0,Cocktail Pillbox Hat Fascinator Hair Clip Bridal Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$19.98,$6.19,13.79,"3,087,244",9,54,1,Fascigirl Direct,4.1,"""10.7"" x ""8.3"" x ""3.1""",Standard (Large),0.05
B07T9CDTGY,"Cute Sleep Mask for Kids,Aniwon 6 Pack Animal Sleeping Mask Soft Plush Blindfold Eyeshade Cute Rabbit Panda Koala Unicorn Eye Covers Eye Mask for Girls Women Kids Favor",Aniwon,Health & Household,$4659.41,259,$17.99,$5.89,12.1,"75,389",69,67,2,Cherubaby,4.8,"""2.4409"" x ""6.5748"" x ""10.9449""",Standard (Large),0.366
B07BHMMN6T,"Disposable Earloop Face Mask,Aniwon 40Pcs Breathability Cute Cartoon Pattern Surgical Mouth Mask Sanitary Medical Mask with Individual Package (Black 5)",Aniwon,Health & Household,$0,0,$10.99,$4.84,6.15,"646,655",2,64,1,Zoylink,2.3,"""2"" x ""2"" x ""2""",Standard (Large),1
B07BJ42GJN,"Dust Mask for Kids,Aniwon 3 Pcs PM2.5 Kids Mouth Face Mask with 6 Pcs Activated Carbon Filter Insert,Washable Cute Cotton Mouth Mask with Adjustable Straps (Blue)",Aniwon,Health & Household,$1448.31,69,$20.99,$6.34,14.65,"34,145",145,60,1,Available from these sellers.,4.6,"""4.41"" x ""4.25"" x ""1.18""",Standard (Large),0.09
B017VU28B0,Fascigirl Fascinator Hair Clip Brooch Pin Wedding Hair Accessory Bridal Heapiece,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10,$4.69,5.31,"3,172,509",15,57,2,Fascigirl Direct,4.8,"""10.91"" x ""8.9"" x ""2.01""",Standard (Large),0.05
B017VU2A6S,Fascigirl Fascinator Hair Clip Brooch Pin Wedding Hair Accessory Bridal Heapiece,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$11.69,$4.94,6.75,"2,748,814",5,42,1,Fascigirl Direct,5,"""6.1"" x ""5.5"" x ""2.7""",Standard (Large),0.02
B018Q31P3I,Fascigirl Over the Knee Socks Leg Warmers Thigh High Fuzzy Socks for Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,$4.84,6.15,"1,867,306",8,58,2,Fascigirl Direct,4.7,"""9.9"" x ""3.6"" x ""2.6""",Standard (Large),0.15
B018Q31TIY,Fascigirl Over the Knee Socks Leg Warmers Thigh High Fuzzy Socks for Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$8.99,$4.54,4.45,"2,371,811",3,58,2,Fascigirl Direct,5,"""9.9"" x ""3.6"" x ""2.6""",Standard (Large),0.15
B018Q31QZA,Fascigirl Over the Knee Socks Leg Warmers Thigh High Fuzzy Socks for Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$13.99,$5.29,8.7,"3,218,737",4,58,2,Fascigirl Direct,5,"""9.9"" x ""3.6"" x ""2.6""",Standard (Large),0.15
B018Q31RH2,Fascigirl Over the Knee Socks Leg Warmers Thigh High Fuzzy Socks for Girls,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,$4.84,6.15,"854,325",4,58,2,Fascigirl Direct,5,"""9.9"" x ""3.6"" x ""2.6""",Standard (Large),0.15
B019GHHKIC,Fascinator Hair Hoop Cocktail Hat Feather Wedding Pillbox Hat for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$19.99,$6.19,13.8,"18,735,947",6,39,1,Fascigirl Direct,3.8,"""14"" x ""10.4"" x ""2.3""",Standard (Large),0.1
B0183LR1QI,Fascinator Mini Pillbox Hat Wedding Bridal Top Hat with Feather Flower,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$9.99,$4.69,5.3,"15,134,103",0,39,1,Fascigirl Direct,0,"""8"" x ""5.5"" x ""2.6""",Standard (Large),0.1
B01AFTAZ78,Fascinator Pillbox Hat Cocktail Hair Hoop Party Wedding Hair Accessories,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$14.89,$5.42,9.47,"8,818,785",3,50,1,Fascigirl Direct,5,"""9.7"" x ""8.2"" x ""2.6""",Standard (Large),0.08
B018L90MUY,Feather Fascinator Pillbox Hat Kentucky Derby Hat Bridal Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$18.89,$6.02,12.87,"3,231,654",5,50,1,Fascigirl Direct,4.1,"""10.3"" x ""9.5"" x ""2.2""",Standard (Large),0.02
B018L90I12,Feather Fascinator Pillbox Hat Kentucky Derby Hat Bridal Headwear for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$14.99,$5.44,9.55,"4,063,802",9,35,1,Fascigirl Direct,3.9,"""10.3"" x ""9.5"" x ""2.2""",Standard (Large),0.02
B019BSWRZM,Feather Fascinator Pillbox Hat Wedding Sinamay Cocktail Hat for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$21.98,N.A.,N.A.,"26,477,100",4,54,1,Fascigirl Direct,3.5,N.A.,True,0.24
B019BSWSWO,Feather Fascinator Pillbox Hat Wedding Sinamay Cocktail Hat for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$29.97,$7.69,22.28,"10,369,604",1,54,1,Fascigirl Direct,3,"""15.4"" x ""11.5"" x ""2.5""",Standard (Large),0.12
B01CNISNOG,Feather Fascinator Tea Party Derby Pillbox Hat Hair Hood Bridal Hair Accessory,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,N.A.,N.A.,"25,443,675",0,45,1,Fascigirl Direct,3,N.A.,True,0.22
B01KV6S39W,Fingerless Gloves Cat Claw Bear Paw Style Winter Plush Furry Mitten for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$6.98,$4.24,2.74,"1,617,377",19,54,2,Fascigirl Direct,3.8,"""7.1"" x ""6.3"" x ""2""",Standard (Large),0.02
B01KV6S1QC,Fingerless Gloves Cat Claw Bear Paw Style Winter Plush Furry Mitten for Women,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$6.98,$4.24,2.74,"1,442,039",19,58,2,Fascigirl Direct,3.8,"""7.1"" x ""6.3"" x ""2""",Standard (Large),0.02
B07G81F71N,Football Soccer Sports High Thickened Antiskid Pure Color Men's socks,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$5.59,N.A.,N.A.,"11,243,800",63,39,1,Zoylink,3.5,"""3.937"" x ""3.1496"" x ""3.1496""",,0
B0785ZRGSQ,"Funny Socks for Women Men,Aniwon 6 Pair Unisex Cotton Letter Print FUCK OFF Crew Socks",Aniwon,"Clothing, Shoes & Jewelry",$959.4,60,$15.99,$5.59,10.4,"196,619",123,59,2,Zoylink,4.5,"""1.1811"" x ""6.0236"" x ""8.1102""",Standard (Large),0.1874
B077STTB1R,"Funny Socks for Women Men,Aniwon 8 Pair Unisex Cotton Letter Print FUCK OFF Crew Socks…",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$17.99,$5.89,12.1,"2,141,643",11,60,1,Zoylink,4.3,"""8.11"" x ""6.02"" x ""1.18""",Standard (Large),0.19
B0188ZDZJQ,Hair Clip Fascinator Feather Wedding Party Bridal Headpieces on Halloween Party Beige,Aniwon,"Clothing, Shoes & Jewelry",$0,0,$17.99,$5.89,12.1,"7,129,271",1,57,1,Fascigirl Direct,4,"""8.9"" x ""8"" x ""1.8""",Standard (Large),0.02
B07TB4H545,"Kids Dust Mask,Aniwon 6 Pcs N95 Mask Kids Mouth Mask PM2.5 Anti Pollution Mask with 12 Pcs Activated Carbon Filter Insert Washable Cute Cotton Face Mask with Adjustable Straps",Aniwon,Health & Household,$1798.8,120,$14.99,$5.44,9.55,"63,187",8,70,1,Cherubaby,4.5,"""1.2598"" x ""1.9685"" x ""8.9764""",Standard (Large),0.2954
B07HF5CWVT,"Kids Knee High Socks,Aniwon 6 Pairs Lovely Cartoon Warm Cotton Socks Over Calf Tube Socks for Children Boys Girls",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$16.99,$5.74,11.25,"3,153,731",4,66,2,Zoylink,5,"""1.8858"" x ""10.2756"" x ""10.5866""",Standard (Large),0.6305
B07HF4JF8D,"Kids Knee High Socks,Aniwon 6 Pairs Lovely Cartoon Warm Cotton Socks Over Calf Tube Socks for Children Boys Girls",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$10.99,N.A.,N.A.,"2,065,699",1,66,2,Zoylink,5,"""1.8898"" x ""10.2756"" x ""10.5906""",,0.6305
B07HF4H286,"Kids Knee High Socks,Aniwon 6 Pairs Lovely Cartoon Warm Cotton Socks Over Calf Tube Socks for Children Boys Girls",Aniwon,"Clothing, Shoes & Jewelry",$0,0,$16.99,$5.74,11.25,"3,491,253",2,66,2,Zoylink,5,"""1.8858"" x ""10.2756"" x ""10.5866""",Standard (Large),0.6305
B07NS5WY3Q,"Kids Sleep Mask,Aniwon 4 Pack Cute Eye Mask for Sleeping Unicorn Sleep Mask Night Blindfold Bed Eye Covers Sleep Mask for Women Girls Kids Favor",Aniwon,Health & Household,$3897,300,$12.99,$5.14,7.85,"36,546",109,61,2,Cherubaby,4.6,"""1.7717"" x ""6.7323"" x ""10.0394""",Standard (Large),0.2293
B07RQXCPBD,"Kids Sleep Mask,Aniwon 4 Pack Cute Eye Mask for Sleeping Unicorn Sleep Mask Night Blindfold Bed Eye Covers Sleep Mask for Women Girls Kids Favor",Aniwon,Health & Household,$359.7,30,$11.99,$4.99,7,"129,529",11,61,2,Cherubaby,4.6,"""2.7"" x ""7.7"" x ""9.8""",Standard (Large),0.2293
B07V3PR1LV,"LED Cat Ears Headband,Aniwon12PCS Light Up Headband Cute Cat Ear Rabbit Ear Unicorn Headband Luminous Led Headband for Women Girls Kids Led Hair Accessories Christmas Halloween Party Supplies",Aniwon,Beauty & Personal Care,$0,0,$14.99,$5.44,9.55,"384,122",27,72,2,Zoylink,4.1,"""2"" x ""7"" x ""10.2""",Standard (Large),0.6504
