,0
0,650101000000
1,市辖区
0,650102002002
1,111
2,燕儿窝南社区居委会
0,650102002005
1,111
2,红雁池社区居委会
0,650102002006
1,111
2,燕儿窝北路西社区居委会
0,650102002007
1,111
2,燕儿窝北路东社区居委会
0,650102002008
1,111
2,青水社区居委会
0,650102002009
1,111
2,三泰路社区居委会
0,650102002000
1,燕儿窝街道
0,650102003001
1,111
2,三甬碑社区居委会
0,650102003002
1,111
2,胜利路社区居委会
0,650102003003
1,111
2,南梁社区居委会
0,650102003004
1,111
2,河坝巷社区居委会
0,650102003007
1,111
2,湖源巷社区居委会
0,650102003009
1,111
2,羊毛湖社区居委会
0,650102003010
1,111
2,多斯鲁克社区居委会
0,650102003011
1,111
2,新疆大学社区居委会
0,650102003012
1,111
2,新东街社区居委会
0,650102003013
1,111
2,边瑞社区居委会
0,650102003014
1,111
2,湖源巷西社区居委会
0,650102003015
1,111
2,新华南路东社区居委会
0,650102003000
1,胜利路街道
0,650102004001
1,111
2,领馆巷北社区居委会
0,650102004002
1,111
2,团结社区居委会
0,650102004003
1,111
2,八户梁社区居委会
0,650102004006
1,111
2,皇城社区居委会
0,650102004007
1,111
2,瓷厂社区居委会
0,650102004014
1,111
2,后泉路社区居委会
0,650102004015
1,111
2,领馆巷南社区居委会
0,650102004016
1,111
2,文新社区居委会
0,650102004019
1,111
2,中泉街南社区居委会
0,650102004000
1,团结路街道
0,650102005003
1,111
2,建中路社区居委会
0,650102005004
1,111
2,永和巷社区居委会
0,650102005007
1,111
2,山西巷社区居委会
0,650102005008
1,111
2,新市路社区居委会
0,650102005009
1,111
2,育才巷社区居委会
0,650102005010
1,111
2,天池路社区居委会
0,650102005012
1,111
2,龙泉社区居委会
0,650102005013
1,111
2,马市小区社区居委会
0,650102005000
1,解放南路街道
0,650102006001
1,111
2,南公园社区居委会
0,650102006002
1,111
2,北国春城社区居委会
0,650102006003
1,111
2,五桥社区居委会
0,650102006004
1,111
2,团结西路社区居委会
0,650102006005
1,111
2,四桥社区居委会
0,650102006006
1,111
2,三桥社区居委会
0,650102006007
1,111
2,西河坝前街社区居委会
0,650102006008
1,111
2,西河坝后街社区居委会
0,650102006009
1,111
2,河滩南路东社区居委会
0,650102006010
1,111
2,南郊客运站社区居委会
0,650102006000
1,新华南路街道
0,650102007003
1,111
2,二道湾社区居委会
0,650102007004
1,111
2,康泰社区居委会
0,650102007005
1,111
2,三山社区居委会
0,650102007006
1,111
2,体育馆路社区居委会
0,650102007010
1,111
2,东菜园社区居委会
0,650102007011
1,111
2,国际城社区居委会
0,650102007012
1,111
2,新湾社区居委会
0,650102007013
1,111
2,人民路南社区居委会
0,650102007000
1,和平路街道
0,650102008002
1,111
2,南大街社区居委会
0,650102008003
1,111
2,和平北路社区居委会
0,650102008004
1,111
2,天山路社区居委会
0,650102008005
1,111
2,青年路社区居委会
0,650102008006
1,111
2,广场社区居委会
0,650102008007
1,111
2,健康路社区居委会
0,650102008000
1,解放北路街道
0,650102009001
1,111
2,幸福路社区居委会
