,0
0,130101000000
1,市辖区
0,130102001001
1,111
2,棉一社区居民委员会
0,130102001002
1,111
2,光华路社区居民委员会
0,130102001003
1,111
2,八家庄社区居民委员会
0,130102001004
1,111
2,花园社区居民委员会
0,130102001010
1,111
2,谈西社区居民委员会
0,130102001011
1,111
2,谈后社区居民委员会
0,130102001012
1,111
2,新浩城社区居民委员会
0,130102001013
1,111
2,国赫红珊湾社区居民委员会
0,130102001014
1,111
2,盛世春天居民委员会
0,130102001000
1,建北街道办事处
0,130102002010
1,111
2,广电社区居民委员会
0,130102002019
1,111
2,东安社区居民委员会
0,130102002020
1,111
2,谈阁社区居民委员会
0,130102002021
1,111
2,范华社区居民委员会
0,130102002022
1,111
2,棉二东社区居民委员会
0,130102002023
1,111
2,棉二西社区居民委员会
0,130102002000
1,青园街道办事处
0,130102003008
1,111
2,广合社区居民委员会
0,130102003009
1,111
2,东大街社区居民委员会
0,130102003010
1,111
2,师大社区居民委员会
0,130102003011
1,111
2,一印社区居民委员会
0,130102003012
1,111
2,棉四社区居民委员会
0,130102003013
1,111
2,棉三社区居民委员会
0,130102003014
1,111
2,名门华都社区居民委员会
0,130102003015
1,111
2,冠诚苑社区居民委员会
0,130102003000
1,广安街道办事处
0,130102004016
1,111
2,药东社区居民委员会
0,130102004018
1,111
2,华药一区社区居民委员会
0,130102004019
1,111
2,谈北社区居民委员会
0,130102004020
1,111
2,二化社区居民委员会
0,130102004021
1,111
2,跃西社区居民委员会
0,130102004022
1,111
2,医大联合社区居民委员会
0,130102004023
1,111
2,谈南社区居民委员会
0,130102004025
1,111
2,裕彤社区居民委员会
0,130102004026
1,111
2,华清社区居民委员会
0,130102004000
1,育才街道办事处
0,130102005007
1,111
2,和平路社区居民委员会
0,130102005009
1,111
2,翟东社区居民委员会
0,130102005010
1,111
2,金建社区居民委员会
0,130102005011
1,111
2,炼油厂社区居民委员会
0,130102005012
1,111
2,瑞国花园社区居民委员会
0,130102005014
1,111
2,建华北大街社区居民委员会
0,130102005015
1,111
2,书香尊园社区居民委员会
0,130102005016
1,111
2,简筑家园社区居民委员会
0,130102005017
1,111
2,盛世长安社区居民委员会
0,130102005018
1,111
2,和平时光社区居民委员会
0,130102005019
1,111
2,和华家园社区居民委员会
0,130102005000
1,跃进街道办事处
0,130102007001
1,111
2,河纺街社区居民委员会
0,130102007002
1,111
2,建华第一社区居民委员会
0,130102007005
1,111
2,建华第三社区居民委员会
0,130102007006
1,111
2,建华第二社区居民委员会
0,130102007015
1,111
2,翟营大街社区居民委员会
0,130102007025
1,111
2,建华第四社区居民委员会
0,130102007029
1,111
2,谈固小区第一社区居民委员会
0,130102007030
1,111
2,谈固小区第二社区居民委员会
0,130102007033
1,111
2,建明南路社区居民委员会
0,130102007034
1,111
2,煤机街社区居民委员会
0,130102007000
1,河东街道办事处
0,130102010001
1,111
2,沿西街社区居民委员会
0,130102010002
1,111
2,运河桥社区居民委员会
0,130102010003
1,111
2,北方社区居民委员会
0,130102010004
1,111
2,沿东社区居民委员会
0,130102010005
1,111
2,长丰联合社区居民委员会
0,130102010006
1,111
2,沿丰社区居民委员会
0,130102010007
1,111
2,康馨雅苑社区居民委员会
0,130102010008
1,111
2,亚龙社区居民委员会
0,130102010009
1,111
2,北翟营社区居民委员会
0,130102010010
1,111
2,南翟营社区居民委员会
0,130102010011
1,111
2,土贤庄社区居民委员会
0,130102010012
1,111
