,0
0,340101000000
1,市辖区
0,340102001001
1,111
2,填海巷社区居委会
0,340102001002
1,111
2,金大塘社区居委会
0,340102001003
1,111
2,全椒路社区居委会
0,340102001000
1,明光路街道
0,340102003001
1,111
2,凤凰桥社区居委会
0,340102003002
1,111
2,滁洲路社区居委会
0,340102003003
1,111
2,大窑湾社区居委会
0,340102003004
1,111
2,建设社区居委会
0,340102003005
1,111
2,红旗社区居委会
0,340102003006
1,111
2,戴安桥社区居委会
0,340102003007
1,111
2,濉溪东路社区居委会
0,340102003000
1,胜利路街道
0,340102004001
1,111
2,临淮路社区居委会
0,340102004002
1,111
2,三里一村社区居委会
0,340102004003
1,111
2,三里三村社区居委会
0,340102004004
1,111
2,铁路一村社区居委会
0,340102004005
1,111
2,凤阳一村社区居委会
0,340102004006
1,111
2,凤阳路社区居委会
0,340102004007
1,111
2,天长路社区居委会
0,340102004008
1,111
2,来安路社区居委会
0,340102004000
1,三里街街道
0,340102005001
1,111
2,五里井社区居委会
0,340102005002
1,111
2,合浦北村社区居委会
0,340102005003
1,111
2,泗洲路社区居委会
0,340102005004
1,111
2,铜陵新村社区居委会
0,340102005005
1,111
2,铜南社区居委会
0,340102005006
1,111
2,花溪社区居委会
0,340102005007
1,111
2,花冲社区居委会
0,340102005000
1,铜陵路街道
0,340102006001
1,111
2,紫竹苑社区居委会
0,340102006002
1,111
2,站塘社区居委会
0,340102006003
1,111
2,学苑社区居委会
0,340102006004
1,111
2,恒通社区居委会
0,340102006005
1,111
2,廿埠社区居委会
0,340102006006
1,111
2,东七社区居委会
0,340102006000
1,七里站街道
0,340102007001
1,111
2,枞阳路社区居委会
0,340102007002
1,111
2,钢北新村社区居委会
0,340102007003
1,111
2,土山南路社区居委会
0,340102007005
1,111
2,化南社区居委会
0,340102007000
1,红光街道
0,340102008001
1,111
2,肥东路社区居委会
0,340102008002
1,111
2,茂林路社区居委会
0,340102008003
1,111
2,当涂路社区居委会
0,340102008004
1,111
2,裕溪路社区居委会
0,340102008005
1,111
2,华业社区居委会
0,340102008006
1,111
2,荻港路社区居委会
0,340102008007
1,111
2,繁昌路社区居委会
0,340102008008
1,111
2,绿苑社区居委会
0,340102008000
1,和平路街道
0,340102010001
1,111
2,唐桥社区居委会
0,340102010002
1,111
2,隆岗村社区居委会
0,340102010003
1,111
2,柳荫塘社区居委会
0,340102010004
1,111
2,合裕路社区居委会
0,340102010005
1,111
2,大王庙社区居委会
0,340102010000
1,城东街道
0,340102011001
1,111
2,长淮社区居委会
0,340102011002
1,111
2,胜利社区居委会
0,340102011003
1,111
2,临泉中路社区居委会
0,340102011004
1,111
2,火车站广场社区居委会
0,340102011006
1,111
2,红星村社区居委会
0,340102011007
1,111
2,元一社区居委会
0,340102011008
1,111
2,长春社区居委会
0,340102011000
1,长淮街道办事处
0,340102012001
1,111
2,大市场社区居委会
0,340102012002
1,111
2,汪塘社区居委会
0,340102012003
1,111
2,万绿园社区居委会
0,340102012006
1,111
2,香格里拉社区居委会
0,340102012007
1,111
2,森海社区居委会
0,340102012008
1,111
2,站塘社区居委会
0,340102012009
1,111
2,天辉社区居委会
0,340102012010
1,111
2,香江佳元社区居委会
0,340102012000
1,方庙街道办事处
0,340102014001
1,111
2,七里塘社区居委会
0,340102014002
1,111
2,板桥社区居委会
0,340102014003
1,111
2,三角线社区居委会
0,340102014000
1,嘉山路街道
0,340102100001
1,111
2,四岗社区居委会
0,340102100002
1,112
2,钟油坊社区居委会
0,340102100003
1,122
2,漕冲社区居委会
0,340102100004
1,112
2,兴集社区居委会
0,340102100005
1,112
2,双圩社区居委会
0,340102100006
1,112
2,伏龙社区居委会
0,340102100007
1,112
2,东岗社区居委会
0,340102100008
1,111
2,钢红社区居委会
0,340102100009
1,111
2,钢南社区居委会
0,340102100010
1,111
2,新海家园社区居委会
0,340102100000
1,大兴镇
0,340102401001
1,111
2,新站社区居委会
0,340102401002
1,111
2,马岗社区居委会
0,340102401003
1,112
2,罗岗社区居委会
0,340102401004
1,112
2,史城社区居委会
0,340102401005
1,111
2,王岗社区居委会
0,340102401006
1,112
2,大店社区居委会
0,340102401007
1,220
2,油坊社区居委会
0,340102401008
1,220
2,大彭社区居委会
0,340102401009
1,112
2,华源社区居委会
0,340102401010
1,111
2,新安社区居委会
0,340102401011
1,112
2,海州社区居委会
0,340102401012
1,111
2,琥珀社区居委会
0,340102401013
1,112
2,瑞泰社区居委会
0,340102401014
1,112
2,华都社区居委会
0,340102401000
1,合肥龙岗综合经济开发区
0,340102000000
1,瑶海区
0,340103001001
1,111
2,水西门社区居委会
0,340103001002
1,111
2,滨南社区居委会
0,340103001003
1,111
2,南河湾社区居委会
0,340103001004
1,111
2,鲁园社区居委会
0,340103001005
1,111
2,古城社区居委会
0,340103001006
1,111
2,畅园社区居委会
0,340103001000
1,亳州路街道
0,340103002001
1,111
2,小桥湾社区居委会
0,340103002002
1,111
2,虹桥社区居委会
0,340103002003
1,111
2,白水坝社区居委会
0,340103002004
1,111
2,高河埂社区居委会
0,340103002005
1,111
2,一里井社区居委会
0,340103002006
1,111
2,万小店社区居委会
0,340103002000
1,双岗街道
0,340103003001
1,111
2,上城社区居委会
0,340103003002
1,111
2,北都社区居委会
0,340103003003
1,111
2,望城社区居委会
0,340103003004
1,111
2,丽都社区居委会
0,340103003000
1,杏林街道
0,340103004001
1,111
2,藕塘社区居委会
0,340103004002
1,111
2,清华社区居委会
0,340103004003
1,111
2,荷塘社区居委会
0,340103004004
1,111
2,平楼社区居委会
0,340103004000
1,海棠街道
0,340103005001
1,111
2,五里社区居委会
0,340103005002
1,111
2,林店社区居委会
0,340103005003
1,111
2,金都社区居委会
0,340103005004
1,111
2,灵璧路社区居委会
0,340103005005
1,111
2,汲桥新村社区居委会
0,340103005006
1,111
2,松竹社区居委会
0,340103005000
1,杏花村街道
0,340103006001
1,111
2,县桥社区居委会
0,340103006002
1,111
2,拱辰社区居委会
0,340103006003
1,111
2,九狮桥社区居委会
0,340103006004
1,111
2,义仓社区居委会
0,340103006005
1,111
2,红旗社区居委会
0,340103006006
1,111
2,四牌楼社区居委会
0,340103006000
1,逍遥津街道
0,340103009001
1,111
2,��龙桥社区居委会
0,340103009002
1,111
2,西平门社区居委会
0,340103009003
1,111
2,龚湾社区
0,340103009004
1,111
2,城隍庙社区居委会
0,340103009005
1,111
2,杏花社区居委会
0,340103009006
1,111
2,大夫第社区居委会
0,340103009000
1,三孝口街道
0,340103012001
1,111
2,桃花园社区居委会
0,340103012002
1,111
2,银河湾社区居委会
0,340103012003
1,111
2,四河社区
0,340103012000
1,四里河街道
0,340103100001
1,111
2,高桥社区居委会
0,340103100002
1,111
2,龙王社区居委会
0,340103100003
1,111
2,照山社区居委会
0,340103100004
1,111
2,王墩社区居委会
0,340103100005
1,111
2,吴郢社区居委会
0,340103100006
1,111
2,草塘社区居委会
0,340103100007
1,111
2,五里拐社区居委会
0,340103100008
1,111
2,夹塘社区居委会
0,340103100009
1,111
2,清源社区居委会
0,340103100010
1,123
2,雁栖社区委员会
0,340103100200
1,111
2,大杨村民委员会
0,340103100201
1,112
2,十张村民委员会
0,340103100202
1,112
2,谢岗村民委员会
0,340103100203
1,112
2,水库村民委员会
0,340103100204
1,220
2,岗西村民委员会
0,340103100000
1,大杨镇
0,340103200200
1,210
2,三十岗村民委员会
0,340103200201
1,112
2,陈龙村民委员会
0,340103200202
1,112
2,东瞿村民委员会
0,340103200203
1,220
2,汪堰村民委员会
0,340103200204
1,220
2,柴冲村民委员会
0,340103200205
1,220
2,瞿嘴村民委员会
0,340103200206
1,220
2,堰稍村民委员会
0,340103200207
1,112
2,风景村民委员会
0,340103200208
1,220
2,崔岗村民委员会
0,340103200000
1,三十岗乡
0,340103400001
1,111
2,连水社区居委会
0,340103400002
1,111
2,天河社区居委会
0,340103400003
1,111
2,永清社区居委会
0,340103400004
1,111
2,菱湖社区居委会
0,340103400005
1,111
2,金池社区居委会
0,340103400006
1,111
2,景湾社区居委会
0,340103400007
1,111
2,官塘社区居委会
0,340103400000
1,庐阳工业区（林店街道）
0,340103000000
1,庐阳区
0,340104001001
1,111
2,梅山路社区居委会
0,340104001002
1,111
2,绩溪路社区居委会
0,340104001003
1,111
2,二里街社区居委会
0,340104001004
1,111
2,竹荫里社居委
0,340104001005
1,111
2,杏林社区居委会
0,340104001006
1,111
2,龙河路社区居委会
0,340104001000
1,三里庵街道
0,340104002001
1,111
2,金寨南路社区居委会
0,340104002002
1,111
2,望江西路社区居委会
0,340104002003
1,111
2,朝阳社区居委会
0,340104002004
1,111
2,黄山路社区居委会
0,340104002005
1,111
2,合作化南路社区居委会
0,340104002000
1,稻香村街道
0,340104003001
1,111
2,翠竹园社区居委会
0,340104003002
1,111
2,琥珀潭社区居委会
0,340104003003
1,111
2,北苑村社区居委会
0,340104003004
1,111
2,安农社区居委会
0,340104003005
1,111
2,飞虹社区居委会
0,340104003006
1,111
2,奥林花园社区居委会
0,340104003000
1,琥珀街道
0,340104004001
1,111
2,丁香社区居委会
0,340104004002
1,111
2,丁岗社区居委会
0,340104004003
1,111
2,新华社区居委会
0,340104004004
1,111
2,科企社区居委会
0,340104004005
1,111
2,洪岗社区居委会
0,340104004000
1,南七街道
0,340104005001
1,111
2,光明社区居委会
0,340104005002
1,111
2,美虹社区居委会
0,340104005003
1,111
2,安居苑社区居委会
0,340104005004
1,111
2,汉嘉社区居委会
0,340104005005
1,111
2,七里塘社区居委会
0,340104005006
1,111
2,岳西新村社区居委会
0,340104005000
1,西园街道
0,340104006001
1,111
2,团安村社区居委会
0,340104006002
1,111
2,青阳路社区居委会
0,340104006003
1,111
2,清溪路社区居委会
0,340104006004
1,111
2,陈村路社区居委会
0,340104006005
1,111
2,家家景园社区居委会
0,340104006006
1,111
2,龙居社区居委会
0,340104006000
1,五里墩街道
0,340104007001
1,111
2,绿怡居社区居委会
0,340104007002
1,111
2,嘉和苑社区居委会
0,340104007003
1,111
2,金荷社区居委会
0,340104007004
1,111
2,红四方社居委
0,340104007005
1,111
2,浅水湾社区居委会
0,340104007006
1,111
2,凯旋门社区居委会
0,340104007000
1,荷叶地街道
0,340104008001
1,111
2,汇林阁社区居委会
0,340104008002
1,111
2,翠庭园社区居委会
0,340104008003
1,111
2,天鹅湖社区居委会
0,340104008004
1,111
2,文博苑社区居委会
0,340104008005
1,111
2,学林轩社区委员会
0,340104008000
1,笔架山街道
0,340104100001
1,111
2,蜀山社区居委会
0,340104100002
1,112
2,十里店社区居委会
0,340104100003
1,111
2,十里庙社区居委会
0,340104100004
1,111
2,卫楼社区居委会
0,340104100005
1,111
2,半岛社区居委会
0,340104100006
1,111
2,兴民社区居委会
0,340104100200
1,112
2,十八岗村民委员会
0,340104100400
1,111
2,金湖社区居民委员会
0,340104100401
1,111
2,科学岛社区
0,340104100000
1,井岗镇
0,340104101001
1,111
2,新城社区居委会
0,340104101200
1,220
2,鸡鸣村民委员会
0,340104101201
1,220
2,双塘村民委员会
0,340104101202
1,112
2,梁墩村民委员会
0,340104101203
1,220
2,瓦屋村民委员会
0,340104101204
1,112
2,侯店村民委员会
0,340104101000
1,南岗镇
0,340104102001
1,121
2,小庙街道社区居民委员会
0,340104102002
1,122
2,大柏社区居民委员会
0,340104102003
1,122
2,将军社区居民委员会
0,340104102004
1,122
2,雷麻社区居民委员会
0,340104102005
1,112
2,拐岗社区居民委员会
0,340104102006
1,122
2,五十墩社区居民委员会
0,340104102007
1,220
2,袁中社区居民委员会
0,340104102201
1,220
2,新民村民委员会
0,340104102202
1,220
2,段冲村民委员会
0,340104102204
1,220
2,马岗村民委员会
0,340104102205
1,220
2,雷北村民委员会
0,340104102206
1,122
2,街北村民委员会
0,340104102207
1,122
2,小柏村民委员会
0,340104102208
1,122
2,茅铺村民委员会
0,340104102209
1,220
2,朱岗村民委员会
0,340104102210
1,122
2,枣林村民委员会
0,340104102211
1,122
2,桅树村民委员会
0,340104102212
1,220
2,饭棚村民委员会
0,340104102213
1,220
2,石塘村民委员会
0,340104102214
1,220
2,余岗村民委员会
0,340104102215
1,220
2,河南村民委员会
0,340104102218
1,122
2,高岗村民委员会
0,340104102219
1,220
2,姚家村民委员会
0,340104102220
1,122
2,硕大塘村民委员会
0,340104102221
1,220
2,北分路回族村民委员会
0,340104102222
1,112
2,小蜀山村民委员会
0,340104102223
1,122
2,郑岗村民委员会
0,340104102225
1,122
2,小庙村民委员会
0,340104102226
1,220
2,黄栗村民委员会
0,340104102227
1,220
2,马场村民委员会
0,340104102000
1,小庙镇
0,340104400001
1,111
2,仰桥社区居委会
0,340104400002
1,111
2,田埠社区居委会
0,340104400003
1,111
2,立新社区居委会
0,340104400004
1,111
2,卫星社区居委会
0,340104400200
1,111
2,邓店村委会
0,340104400000
1,蜀山新产业园区
0,340104000000
1,蜀山区
0,340111001008
1,112
2,官塘居委会
0,340111001009
1,111
2,骆岗居委会
0,340111001010
1,112
2,施河居委会
0,340111001011
1,111
2,高王居委会
0,340111001012
1,112
2,陆集居委会
0,340111001013
1,111
2,包河苑居委会
0,340111001014
1,111
2,包河花园居委会
0,340111001015
1,111
2,繁华居委会
0,340111001016
1,111
2,车谷居委会
0,340111001017
1,111
2,石桥社区居民委员会
0,340111001204
1,112
2,陆大村委会
0,340111001206
1,111
2,北斗村委会
0,340111001400
1,111
2,包河工业区管委会社区
0,340111001000
1,骆岗街道
0,340111002001
1,111
2,姚公居委会
0,340111002002
1,111
2,凌大塘居委会
0,340111002003
1,111
2,仰光居委会
0,340111002004
1,111
2,竹西居委会
0,340111002005
1,111
2,沿河居委会
0,340111002006
1,111
2,油坊岗居委会
0,340111002007
1,111
2,淝南居委会
0,340111002008
1,111
2,金寨南路居委会
0,340111002000
1,常青街道
0,340111003001
1,111
2,兰亭居委会
0,340111003002
1,111
2,银河居委会
0,340111003003
1,111
2,城南居委会
0,340111003004
1,111
2,东城岗居委会
0,340111003005
1,111
2,友谊居委会
0,340111003006
1,111
2,南园居委会
0,340111003007
1,111
2,茶亭居委会
0,340111003008
1,111
2,曙光居委会
0,340111003009
1,111
2,太湖新村居委会
0,340111003010
1,111
2,望江东路居委会
0,340111003000
1,芜湖路街道
0,340111004001
1,111
2,青年居委会
0,340111004002
1,111
2,宁国新村居委会
0,340111004003
1,111
2,包河居委会
0,340111004004
1,111
2,军区居委会
0,340111004005
1,111
2,炳辉居委会
0,340111004006
1,111
