,0
0,430101000000
1,市辖区
0,430102001001
1,111
2,识字里社区居委会
0,430102001002
1,111
2,文艺新村社区居委会
0,430102001003
1,111
2,韭菜园社区居委会
0,430102001004
1,111
2,湘府社区居委会
0,430102001005
1,111
2,乔庄社区居委会
0,430102001006
1,111
2,东广济桥社区居委会
0,430102001007
1,111
2,南元宫社区居委会
0,430102001000
1,文艺路街道
0,430102002001
1,111
2,朝阳社区居委会
0,430102002002
1,111
2,五一东村社区居委会
0,430102002003
1,111
2,向韶社区居委会
0,430102002004
1,111
2,二里牌社区居委会
0,430102002005
1,111
2,人民新村社区居委会
0,430102002006
1,111
2,曙光社区居委会
0,430102002000
1,朝阳街街道
0,430102003001
1,111
2,桐荫里社区居委会
0,430102003003
1,111
2,八一桥社区居委会
0,430102003004
1,111
2,军区社区居委会
0,430102003005
1,111
2,汤家岭社区居委会
0,430102003006
1,111
2,蓉园社区居委会
0,430102003000
1,韭菜园街道
0,430102008001
1,111
2,五里牌社区居委会
0,430102008002
1,111
2,火车站社区居委会
0,430102008004
1,111
2,燕山街社区居委会
0,430102008000
1,五里牌街道
0,430102009001
1,111
2,凌霄社区居委会
0,430102009002
1,111
2,紫薇社区居委会
0,430102009003
1,111
2,月桂社区居委会
0,430102009005
1,111
2,兴和社区居委会
0,430102009006
1,111
2,陶家山社区居委会
0,430102009007
1,111
2,曾家坪社区居委会
0,430102009000
1,火星街道
0,430102010004
1,111
2,滩头坪社区居委会
0,430102010007
1,111
2,古汉城社区居委会
0,430102010008
1,111
2,马王堆社区居委会
0,430102010009
1,111
2,九道湾社区
0,430102010010
1,111
2,新桥新村社区居委会
0,430102010204
1,111
2,火炬村委会
0,430102010000
1,马王堆街道
0,430102011001
1,111
2,芙蓉社区居委会
0,430102011002
1,111
2,东屯渡社区居委会
0,430102011003
1,111
2,扬帆社区居委会
0,430102011009
1,111
2,嘉雨社区居委会
0,430102011010
1,111
2,白沙湾社区居委会
0,430102011011
1,111
2,金科社区居委会
0,430102011000
