,0
0,530101000000
1,市辖区
0,530102001001
1,111
2,翠湖西路社区
0,530102001002
1,111
2,水晶宫社区
0,530102001003
1,111
2,五华山社区
0,530102001004
1,111
2,文化巷社区
0,530102001005
1,111
2,翠湖北路社区
0,530102001006
1,111
2,北门社区
0,530102001007
1,111
2,翠湖社区
0,530102001008
1,111
2,圆通西路社区
0,530102001009
1,111
2,云南大学社区
0,530102001010
1,111
2,圆通社区
0,530102001011
1,111
2,云师大社区
0,530102001012
1,111
2,云南民族大学社区
0,530102001000
1,华山街道办事处
0,530102002001
1,111
2,威远街社区
0,530102002002
1,111
2,南屏街社区
0,530102002003
1,111
2,祥云街社区
0,530102002004
1,111
2,青年路社区
0,530102002005
1,111
2,景星街社区
0,530102002006
1,111
2,金牛街社区
0,530102002007
1,111
2,文庙社区
0,530102002000
1,护国街道办事处
0,530102003001
1,111
2,富春社区
0,530102003002
1,111
2,东风西路中段社区
0,530102003003
1,111
2,三合营社区
0,530102003004
1,111
2,新闻里社区
0,530102003005
1,111
2,篆塘社区
0,530102003006
1,111
2,顺城社区
0,530102003007
1,111
2,棕树营东区社区
0,530102003008
1,111
2,建工社区
0,530102003009
1,111
2,大观商业城社区
0,530102003000
1,大观街道办事处
0,530102004001
1,111
2,人民西路社区
0,530102004002
1,111
2,西站社区
0,530102004003
1,111
2,茭菱社区
0,530102004004
1,111
2,凤翥社区
0,530102004005
1,111
2,菱角塘社区
0,530102004006
1,111
2,红菱社区
0,530102004007
1,111
2,西园北路社区
0,530102004000
1,龙翔街道办事处
0,530102005001
1,111
2,昆建路社区
0,530102005002
1,111
2,春晖社区
0,530102005003
1,111
2,虹山东路社区
0,530102005004
1,111
2,虹山中路社区
0,530102005005
1,111
2,洪园社区
0,530102005006
1,111
2,丰宁社区
0,530102005007
1,111
2,黄土坡社区
0,530102005008
1,111
2,虹山南路社区
0,530102005000
1,丰宁街道办事处
0,530102006001
1,111
2,教场中路社区
0,530102006002
1,111
2,教场北路社区
0,530102006003
1,111
2,昆明理工大学社区
0,530102006004
1,111
2,苏家塘社区
0,530102006005
1,111
2,马村社区
0,530102006006
1,111
2,虹山社区
0,530102006007
1,111
2,云南财经大学社区
0,530102006008
1,111
2,江岸社区
0,530102006009
1,111
2,江北社区
0,530102006010
1,111
2,冶金高等专科学校社区
0,530102006011
1,111
2,教场东路社区
0,530102006012
1,111
2,学府社区
0,530102006013
1,111
2,云南省第二监狱社区
0,530102006000
1,莲华街道办事处
0,530102007001
