,0
0,450101000000
1,市辖区
0,450102001003
1,111
2,兴宁社区居委会
0,450102001004
1,111
2,北宁社区居委会
0,450102001006
1,111
2,高峰社区居委会
0,450102001007
1,111
2,人民中社区居委会
0,450102001010
1,111
2,人民东社区居委会
0,450102001012
1,111
2,望仙坡社区居委会
0,450102001013
1,111
2,金牛桥社区居委会
0,450102001014
1,111
2,长��西社区居委会
0,450102001015
1,111
2,燕子岭社区居委会
0,450102001016
1,111
2,长��东社区居委会
0,450102001018
1,111
2,望州南社区居委会
0,450102001019
1,111
2,望州东社区居委会
0,450102001201
1,111
2,官桥村委会
0,450102001000
1,民生街道办事处
0,450102002001
1,111
2,朝阳社区居委会
0,450102002002
1,111
2,华东社区居委会
0,450102002004
1,111
2,运德社区居委会
0,450102002005
1,111
2,中华社区居委会
0,450102002006
1,111
2,望州社区居委会
0,450102002019
1,111
2,翠峰社区居委会
0,450102002023
1,111
2,人民北一里社区居委会
0,450102002024
1,111
2,人民北二里社区居委会
0,450102002025
1,111
2,秀和社区居委会
0,450102002201
1,111
2,虎邱村委会
0,450102002000
1,朝阳街道办事处
0,450102003001
1,111
2,澳华社区居委会
0,450102003002
1,111
2,兴东社区居委会
0,450102003003
1,111
2,将桥社区居委会
0,450102003004
1,111
2,五村岭社区居委会
0,450102003005
1,111
2,邕武东社区居委会
0,450102003008
1,111
2,兴桂社区居委会
0,450102003201
1,112
2,鸡村村委会
0,450102003000
1,兴东街道办事处
0,450102101001
1,112
2,四塘社区居委会
0,450102101002
1,220
2,四塘煤矿社区居委会
0,450102101003
1,220
2,平垌煤矿社区居委会
0,450102101004
1,123
2,里罗煤矿社区居委会
0,450102101005
1,111
2,三塘社区居委会
0,450102101006
1,111
2,热作社区居委会
0,450102101007
1,111
2,香草苑社区居委会
0,450102101008
1,111
2,金桥社区居委会
0,450102101201
1,112
2,三塘村委会
0,450102101202
1,112
2,那况村委会
0,450102101203
1,220
2,围村村委会
0,450102101204
1,220
2,大邓村委会
0,450102101205
1,220
2,那陀村委会
0,450102101206
1,220
2,福禄村委会
0,450102101207
1,220
2,路东村委会
0,450102101208
1,112
2,降桥村委会
0,450102101209
1,220
2,那笔村委会
0,450102101210
1,220
2,同仁村委会
0,450102101211
1,220
2,建新村委会
0,450102101212
1,220
2,六村村委会
0,450102101213
1,220
2,创新村委会
0,450102101000
1,三塘镇
0,450102102001
1,121
2,五塘社区居委会
0,450102102201
1,122
2,西龙村委会
0,450102102202
1,220
2,英广村委会
0,450102102203
1,220
2,坛棍村委会
0,450102102204
1,220
2,友爱村委会
0,450102102205
1,220
2,民政村委会
0,450102102206
1,220
2,永宁村委会
0,450102102207
1,220
2,四平村委会
0,450102102208
1,220
2,沙平村委会
0,450102102209
1,220
2,两山村委会
0,450102102210
1,220
2,七塘村委会
0,450102102211
1,220
2,王竹村委会
0,450102102212
1,220
2,六塘村委会
0,450102102213
1,220
2,四六村委会
0,450102102000
1,五塘镇
0,450102104001
1,121
2,九塘社区居委会
0,450102104201
1,122
2,昆仑村委会
0,450102104202
1,220
2,群星村委会
0,450102104203
1,220
2,联光村委会
0,450102104204
1,220
2,太昌村委会
0,450102104205
1,220
2,八塘村委会
0,450102104206
1,220
2,黄宣村委会
0,450102104207
1,220
2,富兴村委会
