,0
0,420101000000
1,市辖区
0,420102002003
1,111
2,保成社区
0,420102002004
1,111
2,泰宁社区
0,420102002005
1,111
2,先锋社区
0,420102002008
1,111
2,吉庆社区
0,420102002009
1,111
2,铭新社区
0,420102002000
1,大智街办事处
0,420102003001
1,111
2,岳飞社区
0,420102003002
1,111
2,同兴社区
0,420102003004
1,111
2,三阳社区
0,420102003005
1,111
2,坤厚社区
0,420102003007
1,111
2,天津社区
0,420102003008
1,111
2,扬子社区
0,420102003011
1,111
2,同福社区
0,420102003013
1,111
2,洞庭社区
0,420102003000
1,一元街办事处
0,420102004003
1,111
2,华清社区
0,420102004005
1,111
2,长安社区
0,420102004006
1,111
2,三德社区
0,420102004007
1,111
2,辅堂社区
0,420102004009
1,111
2,辅仁社区
0,420102004000
1,车站街办事处
0,420102005001
1,111
2,五福社区
0,420102005002
1,111
2,六合社区
0,420102005004
1,111
2,麟趾社区
0,420102005006
1,111
2,太平社区
0,420102005007
1,111
2,袁家社区
0,420102005008
1,111
2,塘新社区
0,420102005000
1,四唯街办事处
0,420102006003
1,111
2,吉林社区
0,420102006004
1,111
2,沈阳社区
0,420102006006
1,111
2,新天地社区
0,420102006008
1,111
2,仁义社区
0,420102006000
1,永清街办事处
0,420102007001
1,111
2,熊家台社区
0,420102007002
1,111
2,江汉北路社区
0,420102007004
1,111
2,光荣坊社区
0,420102007005
1,111
2,高雄社区
0,420102007006
1,111
2,新三巷社区
0,420102007007
1,111
2,模范社区
0,420102007008
1,111
2,金门社区
0,420102007009
1,111
2,香港社区
0,420102007000
1,西马街办事处
0,420102008003
1,111
2,安静社区
0,420102008004
1,111
2,同庆阁社区
0,420102008005
1,111
2,球新社区
0,420102008006
1,111
2,货捐社区
0,420102008008
1,111
2,阳春阁社区
0,420102008000
1,球场街办事处
0,420102009002
1,111
2,三合社区
0,420102009003
1,111
2,湖边坊社区
0,420102009004
1,111
2,苗栗社区
0,420102009005
1,111
2,光华社区
0,420102009007
1,111
2,艺苑社区
0,420102009008
1,111
2,国信院社区
0,420102009010
1,111
2,惠中社区
0,420102009011
1,111
2,花惠社区
0,420102009014
1,111
2,公园社区
0,420102009015
1,111
2,长江委社区
0,420102009000
1,劳动街办事处
0,420102010001
1,111
2,操场社区
0,420102010002
1,111
2,长建社区
0,420102010003
1,111
2,黄家墩社区
0,420102010004
1,111
2,新建社区
0,420102010005
1,111
2,分金社区
0,420102010006
1,111
2,江码社区
0,420102010007
1,111
2,福建社区
0,420102010010
1,111
2,上滑社区
0,420102010012
1,111
2,支农社区
0,420102010014
1,111
2,罗家庄社区
0,420102010015
1,111
2,联合社区
0,420102010017
1,111
2,二炮社区
0,420102010019
1,111
2,预警学院社区
0,420102010020
1,111
2,韦桑社区
0,420102010000
1,二七街办事处
0,420102011002
1,111
2,铁北社区
0,420102011003
1,111
2,新江岸社区
0,420102011004
1,111
2,黑泥湖社区
0,420102011006
1,111
2,为群社区
0,420102011008
1,111
2,航务社区
0,420102011009
1,111
2,长湖地社区
0,420102011010
1,111
2,转车楼社区
0,420102011011
1,111
2,徐州社区
0,420102011014
1,111
