,0
0,540101000000
1,市辖区
0,540102002001
1,111
2,绕赛社区居委会
0,540102002002
1,111
2,白林社区居委会
0,540102002003
1,111
2,鲁固社区居委会
0,540102002004
1,111
2,八廓社区居委会
0,540102002005
1,111
2,冲赛康社区居委会
0,540102002006
1,111
2,丹杰林社区居委会
0,540102002007
1,111
2,夏萨苏社区居委会
0,540102002000
1,八廓街道办事处
0,540102003001
1,111
2,铁崩岗社区居委会
0,540102003002
1,111
2,八朗学社区居委会
0,540102003003
1,111
2,河坝林社区居委会
0,540102003004
1,111
2,吉日社区居委会
0,540102003000
1,吉日街道办事处
0,540102004001
1,111
2,吉崩岗社区居委会
0,540102004002
1,111
2,热木其社区居委会
0,540102004003
1,111
2,策门林社区居委会
0,540102004004
1,111
2,木如社区居委会
0,540102004000
1,吉崩岗街道办事处
0,540102005001
1,111
2,扎细社区居委会
0,540102005002
1,111
2,扎细新村社区居委会
0,540102005003
1,111
2,雄嘎社区居委会
0,540102005004
1,111
2,团结新村社区居委会
0,540102005006
1,111
2,尼卓林社区居委会
0,540102005000
1,扎细街道办事处
0,540102006001
1,111
2,加措社区居委会
0,540102006003
1,111
2,拉鲁社区居委会
0,540102006005
1,111
2,幸福社区居委会
0,540102006006
1,111
2,雪社区居委会
0,540102006000
1,公德林街道办事处
0,540102007001
1,111
2,俄杰塘社区居委会
0,540102007002
1,111
2,纳金路北社区居委会
0,540102007003
1,111
2,统建社区居委会
0,540102007004
1,111
2,嘎玛贡桑社区居委会
0,540102007000
1,嘎玛贡桑街道办事处
0,540102008001
1,111
2,仙足岛社区居委会
0,540102008002
1,111
2,甲玛林卡社区居委会
0,540102008000
1,两岛街道办事处
0,540102009001
1,111
2,金珠西路社区居委会
0,540102009003
1,111
2,洛堆社区居委会
0,540102009005
1,111
2,当巴社区居委会
0,540102009006
1,111
2,八一社区居委会
0,540102009000
1,金珠西路街道办事处
0,540102200001
1,210
2,恩惠苑居委会
0,540102200201
1,220
2,次角林村委会
0,540102200202
1,220
2,白定村委会
0,540102200203
1,210
2,蔡公堂村委会
0,540102200000
1,蔡公堂乡
0,540102201001
1,111
2,纳如社区居委会
0,540102201002
1,111
2,加荣社区居委会
0,540102201003
1,111
2,藏热社区居委会
0,540102201201
1,111
2,嘎巴村委会
0,540102201203
1,111
2,塔玛村委会
0,540102201204
1,111
2,纳金村委会
0,540102201000
1,纳金乡
0,540102202001
1,111
2,阿坝林卡社区居委会
0,540102202002
1,111
2,慈松堂社区居委会
0,540102202201
1,111
2,吉苏村委会
0,540102202202
1,111
2,仁钦蔡村委会
0,540102202203
1,112
2,加尔西村委会
0,540102202000
1,娘热乡
0,540102203001
1,111
2,桑伊社区居委会
0,540102203201
1,111
2,洛欧村委会
0,540102203202
1,112
2,维巴村委会
0,540102203000
1,夺底乡
0,540102000000
1,城关区
0,540103001201
1,220
2,东嘎村委会
0,540103001202
1,111
2,南嘎村委会
0,540103001203
1,220
2,桑木村委会
0,540103001000
1,东嘎街道办事处
0,540103002201
1,112
2,岗德林村委会
0,540103002202
1,111
2,乃琼村委会
0,540103002203
1,112
2,色玛村委会
0,540103002204
1,112
2,贾热村委会
0,540103002205
1,112
2,加木村委会
0,540103002206
1,112
2,波玛村委会
0,540103002000
1,乃琼街道办事处
0,540103003201
1,111
2,羊达村委会
0,540103003202
1,220
2,通嘎村委会
0,540103003203
1,220
2,帮古村委会
0,540103003000
1,羊达街道办事处
0,540103004201
1,220
2,柳梧村委会
0,540103004202
1,220
2,德阳村委会
0,540103004203
1,111
2,桑达村委会
0,540103004204
1,220
2,达东村委会
0,540103004000
1,柳梧街道办事处
0,540103201201
1,210
2,古荣村委会
0,540103201202
1,220
2,那嘎村委会
0,540103201203
1,220
2,南巴村委会
0,540103201204
1,220
2,巴热村委会
0,540103201205
1,220
2,嘎冲村委会
0,540103201206
