,0
0,620101000000
1,市辖区
0,620102001001
1,111
2,畅家巷社区居委会
0,620102001002
1,111
2,张家园社区居委会
0,620102001003
1,111
2,中街子社区居委会
0,620102001004
1,111
2,南稍门社区居委会
0,620102001005
1,111
2,杨家园社区居委会
0,620102001000
1,酒泉路街道
0,620102002001
1,111
2,陇西路社区居委会
0,620102002002
1,111
2,山字石社区居委会
0,620102002003
1,111
2,贡元巷社区居委会
0,620102002004
1,111
2,曹家厅社区居委会
0,620102002005
1,111
2,大众巷社区居委会
0,620102002006
1,111
2,金塔巷社区居委会
0,620102002000
1,张掖路街道
0,620102003001
1,111
2,雁宁路社区居委会
0,620102003002
1,111
2,滩尖子社区居委会
0,620102003003
1,111
2,大雁滩社区居委会
0,620102003004
1,111
2,沙洼河社区居委会
0,620102003005
1,111
2,张苏滩社区居委会
0,620102003006
1,111
2,天庆嘉园社区
0,620102003007
1,111
2,南河社区居委会
0,620102003201
1,111
2,张苏滩村民委员会
0,620102003202
1,111
2,滩尖子村民委员会
0,620102003203
1,111
2,大雁滩村民委员会
0,620102003204
1,111
2,沙洼河村民委员会
0,620102003000
1,雁南街道
0,620102004001
1,111
2,木塔巷社区居委会
0,620102004002
1,111
2,付家巷社区居委会
0,620102004003
1,111
2,静安门社区居委会
0,620102004004
1,111
2,桥门社区居委会
0,620102004005
1,111
2,西城巷社区居委会
0,620102004006
1,111
2,雷坛河社区居委会
0,620102004007
1,111
2,绣河沿社区居委会
0,620102004000
1,临夏路街道
0,620102005001
1,111
2,小雁滩村社区居委会
0,620102005002
1,111
2,雁滩大桥社区居委会
0,620102005003
1,111
2,雁滩路社区居委会
0,620102005004
1,111
2,宋家滩村社区居委会
0,620102005005
1,111
2,雁西路社区居委会
0,620102005000
1,雁北街道
0,620102006001
1,111
2,禄家巷社区居委会
0,620102006002
1,111
2,闵家桥社区居委会
0,620102006003
1,111
2,力行新村社区居委会
0,620102006004
1,111
2,兰山村社区居委会
0,620102006005
1,111
2,和平新村社区居委会
0,620102006006
1,111
2,五泉村社区
0,620102006000
1,五泉街道
0,620102007001
1,111
2,安定门社区居委会
0,620102007002
1,111
2,正宁路社区居委会
0,620102007003
1,111
2,甘家巷社区居委会
0,620102007004
1,111
2,西北新村社区居委会
0,620102007005
1,111
2,徐家巷社区居委会
0,620102007000
1,白银路街道
0,620102008001
1,111
2,郑家台社区居委会
0,620102008002
1,111
2,詹家拐子社区居委会
0,620102008003
1,111
2,王家庄社区居委会
0,620102008004
1,111
2,榆中街社区居委会
0,620102008005
1,111
2,周家庄社区居委会
0,620102008006
1,111
2,耿家庄社区居委会
0,620102008000
1,皋兰路街道
0,620102009001
1,111
2,黄河沿社区居委会
0,620102009002
1,111
2,南城根社区居委会
0,620102009003
1,111
2,广后街社区居委会
0,620102009004
1,111
2,新华巷社区居委会
0,620102009005
1,111
2,大教梁社区居委会
0,620102009006
1,111
2,民勤街社区居委会
0,620102009201
1,111
2,光辉村民委员会
0,620102009000
1,广武门街道
0,620102010001
1,111
2,后街社区居委会
0,620102010002
1,111
2,前街社区居委会
0,620102010003
1,111
2,杨家沟社区居委会
0,620102010201
1,220
2,红沟村民委员会
0,620102010202
1,220
2,头营村民委员会
0,620102010203
1,220
2,二营村民委员会
0,620102010204
1,220
2,三营村民委员会
0,620102010205
1,220
2,民族村民委员会
0,620102010206
1,220
2,卓家沟村民委员会
0,620102010000
1,伏龙坪街道
0,620102011001
1,112
2,徐家湾社区居委会
0,620102011002
1,112
2,金城关社区居委会
0,620102011003
1,111
2,白塔山社区居委会
0,620102011004
1,111
2,朝阳村社区居委会
0,620102011005
1,111
2,靖远路社区居委会
0,620102011006
1,112
2,九州大道社区居委会
0,620102011007
1,112
2,九州中路社区居委会
0,620102011008
1,111
2,西李家湾社区居委会
0,620102011201
1,112
2,徐家湾村村民委员会
0,620102011000
1,靖远路街道
0,620102012001
1,111
2,五一山社区居委会
0,620102012002
1,111
2,庙滩子社区居委会
0,620102012003
1,111
2,砂坪村社区居委会
0,620102012004
1,111
2,亚太社区居委会
0,620102012005
1,111
2,大砂坪社区居委会
0,620102012006
1,111
2,草场街社区居委会
0,620102012000
1,草场街街道
0,620102013001
1,111
2,车站社区居委会
0,620102013002
1,111
2,红山根社区居委会
0,620102013003
1,111
2,红二村社区居委会
0,620102013004
1,111
2,红三村社区居委会
0,620102013005
1,111
2,红西村社区居委会
0,620102013006
1,111
2,红山根东路社区居委会
0,620102013000
1,火车站街道
0,620102014001
1,111
2,拱星墩后街社区居委会
0,620102014002
1,111
2,五里铺西社区居委会
0,620102014003
1,111
2,段家滩东社区居委会
0,620102014004
1,111
2,段家滩西社区居委会
0,620102014005
1,111
2,东岗东路社区居委会
0,620102014006
1,111
2,五里铺东社区居委会
0,620102014007
1,111
2,五里铺村社区居委会
0,620102014008
1,111
2,段家滩村社区居委会
0,620102014009
1,111
2,范家湾村社区居委会
0,620102014010
1,112
2,拱星墩村社区居委会
0,620102014000
1,拱星墩街道
0,620102015001
1,112
2,桃树坪社区居委会
0,620102015002
1,111
2,新兴社区居委会
0,620102015003
1,111
2,振兴社区居委会
0,620102015004
1,111
2,雁儿湾社区居委会
0,620102015005
1,111
2,深沟桥社区居委会
0,620102015006
1,111
2,店子街村社区居委会
0,620102015007
1,112
2,东岗镇村社区居委会
0,620102015008
1,111
2,欣欣嘉园社区居委会
0,620102015201
1,112
2,长洼山村民委员会
0,620102015202
1,112
2,大洼山村民委员会
0,620102015000
1,东岗街道
0,620102016001
1,111
2,团结新村社区居委会
0,620102016002
1,111
2,天平街社区居委会
0,620102016003
1,111
2,红星巷社区居委会
0,620102016004
1,111
2,定西二支路社区居委会
0,620102016005
1,111
2,定西南路社区居委会
0,620102016006
1,111
2,天水南路社区居委会
0,620102016000
1,团结新村街道
0,620102017001
1,111
2,农民巷东社区居委会
0,620102017002
1,111
2,农民巷西社区居委会
0,620102017003
1,111
2,天水路社区居委会
0,620102017004
1,111
2,一只船社区居委会
0,620102017005
1,111
2,东岗西路社区居委会
0,620102017006
1,111
2,平凉路社区居委会
0,620102017000
1,东岗西路街道
0,620102018001
1,111
2,铁路东村社区居委会
0,620102018002
1,111
2,和政东街社区居委会
0,620102018003
1,111
2,铁路新村社区居委会
0,620102018004
1,111
2,何家庄社区居委会
0,620102018000
1,铁路东村街道
0,620102019001
1,111
2,和政西街社区居委会
0,620102019002
1,111
2,居安社区居委会
0,620102019003
1,111
2,西村社区居委会
0,620102019004
1,111
2,牟家庄东社区居委会
0,620102019005
1,111
2,牟家庄北社区居委会
0,620102019006
1,111
2,牟家庄南社区居委会
0,620102019000
1,铁路西村街道
0,620102020001
1,111
2,南河新村社区居委会
0,620102020002
1,111
2,南昌路社区居委会
0,620102020003
1,111
2,宁卧庄社区居委会
0,620102020004
1,111
2,兰州大学社区居委会
0,620102020005
1,111
2,科技街社区居委会
0,620102020006
1,111
2,定西路社区居委会
0,620102020000
1,渭源路街道
0,620102021001
1,111
2,穆柯寨社区居委会
0,620102021002
1,111
2,小沟坪社区居委会
0,620102021003
1,111
2,盐场堡社区居委会
0,620102021004
1,111
2,盐场堡村社区居委会
0,620102021005
1,111
2,上川村社区居委会
0,620102021006
1,111
2,草场街村社区居委会
0,620102021007
1,111
2,亭子村社区居委会
0,620102021201
1,112
2,石门沟村民委员会
0,620102021000
1,盐场路街道
0,620102022001
1,111
2,排洪沟社区居委会
0,620102022002
1,111
2,排洪沟南路社区居委会
0,620102022003
1,111
2,五里铺社区居委会
0,620102022004
1,111
2,嘉峪关路社区居委会
0,620102022005
1,111
2,嘉峪关北路社区居委会
0,620102022006
1,111
2,嘉峪关西路社区居委会
0,620102022000
1,嘉峪关路街道
0,620102023001
1,111
2,焦家湾东社区居委会
0,620102023002
1,111
2,焦家湾社区居委会
0,620102023003
1,111
2,焦家湾南路社区居委会
0,620102023004
1,111
2,嘉峪关东路社区居委会
0,620102023000
1,焦家湾街道
0,620102024001
1,111
2,天麓山社区
0,620102024002
1,111
2,诺丁山社区
0,620102024201
1,220
2,白道坪村村民委员会
0,620102024202
1,220
2,上坪村村民委员会
0,620102024203
1,220
2,石沟村村民委员会
0,620102024204
1,111
2,碱水沟村民委员会
0,620102024205
1,112
2,青石湾村民委员会
0,620102024206
1,112
2,杨家湾村民委员会
0,620102024207
1,220
2,大浪沟村民委员会
0,620102024208
1,220
2,马家沟村民委员会
0,620102024209
1,220
2,青山村民委员会
0,620102024000
1,青白石街道
0,620102025001
1,111
2,中河社区居委会
0,620102025002
1,111
2,雁滨社区居委会
0,620102025003
1,111
2,雁东社区居委会
0,620102025004
1,111
2,刘家滩村社区居委会
0,620102025005
1,111
2,北面滩村社区居委会
0,620102025006
1,111
2,高滩村社区居委会
0,620102025000
1,雁园街道办事处
0,620102400400
1,111
2,高新区均家滩社区
0,620102400401
1,123
2,高新区南面滩社区
0,620102400402
1,123
2,高新区骆驼滩社区
0,620102400000
1,高新区
0,620102402598
1,111
2,甘肃农垦集团虚拟居委会
0,620102402000
1,甘肃农垦集团
0,620102403498
1,111
2,甘肃监狱企业集团公司虚拟居委会
0,620102403000
1,甘肃监狱企业集团公司
0,620102000000
1,城关区
0,620103001001
1,111
2,下西园社区居委会
0,620103001002
1,111
2,上西园社区居委会
0,620103001003
1,111
2,工林路社区居委会
0,620103001004
1,111
2,林家庄社区居委会
0,620103001005
1,111
2,雷坛河西街社区居民委员会
0,620103001006
1,111
2,柏树巷社区居委会
0,620103001007
1,111
2,五星坪社区居委会
0,620103001008
1,111
2,华林山社区居委会
0,620103001009
1,111
2,华林坪社区居委会
0,620103001010
1,111
2,文化宫社区居委会
0,620103001000
1,西园街道
0,620103002001
1,111
2,理工大社区居委会
0,620103002002
1,111
2,兰工坪北街社区居委会
0,620103002003
1,111
2,骆驼巷社区居委会
0,620103002004
1,111
2,梁家庄社区居委会
0,620103002005
1,111
2,建工中街社区居委会
0,620103002006
1,111
2,小西湖东街社区居委会
0,620103002007
1,111
2,小西湖西街社区居委会
0,620103002008
1,111
2,西津桥社区居委会
0,620103002009
1,111
2,瓜州路社区居民委员会
0,620103002000
