,0
0,210101000000
1,市辖区
0,210102001002
1,111
2,水源地社区
0,210102001003
1,111
2,砂阳南社区
0,210102001005
1,111
2,南京南社区
0,210102001007
1,111
2,河北社区
0,210102001010
1,111
2,万和社区
0,210102001012
1,111
2,玉屏二社区
0,210102001014
1,111
2,砂山新村社区
0,210102001015
1,111
2,和平湾社区
0,210102001000
1,浑河湾街道
0,210102002001
1,111
2,丰泽社区
0,210102002003
1,111
2,南十社区
0,210102002005
1,111
2,临沂路社区
0,210102002006
1,111
2,华光社区
0,210102002008
1,111
2,红星社区
0,210102002009
1,111
2,中兴社区
0,210102002010
1,111
2,新华西社区
0,210102002011
1,111
2,平安社区
0,210102002012
1,111
2,宜春社区
0,210102002013
1,111
2,砂阳北社区
0,210102002000
1,新华街道
0,210102007001
1,111
2,西铁社区
0,210102007002
1,111
2,安图社区
0,210102007004
1,111
2,方迪社区
0,210102007007
1,111
2,图们社区
0,210102007009
1,111
2,纺织社区
0,210102007010
1,111
2,沈纺北社区
0,210102007000
1,西塔街道
0,210102013001
1,111
2,宝环社区
0,210102013002
1,111
2,沈电社区
0,210102013003
1,111
2,和平新村社区
0,210102013005
1,111
2,延安里社区
0,210102013006
1,111
2,红塔社区
0,210102013007
1,111
2,市府社区
0,210102013008
1,111
2,桂林社区
0,210102013000
1,八经街道
0,210102016005
1,111
2,城中花园社区
0,210102016006
1,111
2,嘉兴社区
0,210102016007
1,111
2,省委社区
0,210102016008
1,111
2,四平街社区
0,210102016009
1,111
2,长兴社区
0,210102016010
1,111
2,振兴社区
0,210102016011
1,111
2,电业社区
0,210102016012
1,111
2,铁厦社区
0,210102016000
1,马路湾街道
0,210102017002
1,111
2,太平里社区
0,210102017004
1,111
2,光复里社区
0,210102017007
1,111
2,建科社区
0,210102017009
1,111
2,南九社区
0,210102017010
1,111
2,鑫贸社区
0,210102017011
1,111
2,光明社区
0,210102017012
1,111
2,湖畔社区
0,210102017013
1,111
2,辽声社区
0,210102017000
1,集贤街道
0,210102019001
1,111
2,彩塔街社区
0,210102019003
1,111
2,保安寺社区
0,210102019004
1,111
2,文化路社区
0,210102019005
1,111
2,中科院社区
0,210102019006
1,111
2,三好街社区
0,210102019009
1,111
2,文安路社区
0,210102019011
1,111
2,东大社区
0,210102019014
1,111
2,新世界花园社区
0,210102019015
1,111
2,旺嘉园社区
0,210102019400
1,111
2,科技商城社区
0,210102019000
1,南湖街道
0,210102021001
1,111
2,天河社区
0,210102021002
1,111
2,万科城社区
0,210102021003
1,111
2,格林生活坊社区
0,210102021004
1,111
2,长白苑社区
0,210102021005
1,111
2,金沙湾社区
0,210102021006
1,111
2,新加坡城社区
0,210102021007
1,111
2,翡翠城社区
0,210102021008
1,111
2,鹿特丹社区
0,210102021009
1,111
2,马总社区
0,210102021000
1,长白街道
0,210102022011
1,111
2,沈阳站社区
0,210102022012
1,111
2,正大社区
0,210102022014
1,111
2,环宇社区
0,210102022016
1,111
2,五环社区
0,210102022017
1,111
2,洪福社区
0,210102022018
1,111
2,中华社区
0,210102022019
1,111
2,联营社区
0,210102022020
1,111
2,中山社区
0,210102022021
1,111
2,八一社区
0,210102022022
1,111
2,民族社区
0,210102022023
1,111
2,铁军社区
0,210102022000
1,太原街街道
0,210102023001
1,111
2,市府路社区
0,210102023002
1,111
2,皇寺路社区
0,210102023004
1,111
2,总站路社区
0,210102023009
1,111
2,北市社区
0,210102023010
1,111
2,民富社区
0,210102023011
1,111
2,大庆路社区
0,210102023000
1,北市场街道
0,210102025003
1,111
2,群芳社区
0,210102025004
1,111
2,鲁园社区
0,210102025009
1,111
2,二零二医院社区
0,210102025010
1,111
2,云集社区
0,210102025011
1,111
2,八卦街社区
0,210102025012
1,111
2,领事馆社区
0,210102025000
1,南市场街道
0,210102027001
1,111
2,安泰社区
0,210102027002
1,111
2,滨河湾社区
0,210102027003
1,111
2,远洋社区
0,210102027004
1,111
2,中海社区
0,210102027005
1,111
2,富海澜湾社区
0,210102027006
1,111
2,中航社区
0,210102027000
1,沈水湾街道
0,210102028002
1,111
2,新村社区
0,210102028003
1,111
2,浑铁社区
0,210102028004
1,112
2,满融社区
0,210102028005
1,112
2,下河湾社区
0,210102028006
1,112
2,前进社区
0,210102028007
1,112
2,曹仲社区
0,210102028008
1,112
2,前竞赛社区
0,210102028009
1,112
2,后竞赛社区
0,210102028010
1,112
2,上河湾社区
0,210102028011
1,112
2,新立社区
0,210102028012
1,111
2,前鲜社区
0,210102028013
1,112
2,下鲜社区
0,210102028014
1,111
2,九洲社区
0,210102028000
1,浑河站西街道
0,210102000000
1,和平区
0,210103004001
1,111
2,志新社区
0,210103004002
1,111
2,涌泉社区
0,210103004004
1,111
2,天光社区
0,210103004005
1,111
2,迎新社区
0,210103004006
1,111
2,兴丰社区
0,210103004012
1,111
2,杏林社区
0,210103004013
1,111
2,康壮社区
0,210103004000
1,大西街道
0,210103005003
1,111
2,永顺社区
0,210103005005
1,111
2,祥顺社区
0,210103005008
1,111
2,圣天社区
0,210103005012
1,111
2,现代家园社区
0,210103005013
1,111
2,阳光社区
0,210103005015
1,111
2,秀山社区
0,210103005016
1,111
2,六合社区
0,210103005018
1,111
2,双路社区
0,210103005000
1,滨河街道
0,210103006001
1,111
2,六0六所社区
0,210103006003
1,111
2,万柳塘社区
0,210103006004
1,111
2,沈空社区
0,210103006005
1,111
2,大万莲社区
0,210103006009
1,111
2,先农坛社区
0,210103006010
1,111
2,泉园社区
0,210103006011
1,111
2,清泉社区
0,210103006012
1,111
2,泉富社区
0,210103006013
1,111
2,松泉社区
0,210103006000
1,万莲街道
0,210103010001
1,111
2,慈恩社区
0,210103010004
1,111
2,勒石社区
0,210103010005
1,111
2,多福社区
0,210103010007
1,111
2,怡静园社区
0,210103010011
1,111
2,新兴社区
0,210103010014
1,111
2,红巾社区
0,210103010018
1,111
2,通天社区
0,210103010019
1,111
2,省医院社区
0,210103010000
1,大南街道
0,210103011002
1,111
2,铝镁社区
0,210103011006
1,111
2,运河社区
0,210103011007
1,111
2,兴胜社区
0,210103011010
1,111
2,三八南社区
0,210103011012
1,111
2,菜行社区
0,210103011013
1,111
2,进华社区
0,210103011014
1,111
2,春河社区
0,210103011000
1,山东庙街道
0,210103013004
1,111
2,府北社区
0,210103013006
1,111
2,剪炉社区
0,210103013007
1,111
2,晓春社区
0,210103013009
1,111
2,格林豪森社区
0,210103013010
1,111
2,府东社区
0,210103013012
1,111
2,宝石社区
0,210103013013
1,111
2,回民社区
0,210103013016
1,111
2,迎宾社区
0,210103013000
1,朱剪炉街道
0,210103014001
1,111
2,凯旋社区
0,210103014003
1,111
2,山东堡社区
0,210103014004
1,111
2,惠工社区
0,210103014005
1,111
2,狮慈社区
0,210103014006
1,111
2,望远社区
0,210103014000
1,新北站街道
0,210103015002
1,111
2,文华社区
0,210103015003
1,111
2,茂泉社区
0,210103015006
1,111
2,桃源社区
0,210103015007
1,111
2,雨坛社区
0,210103015011
1,111
2,永环社区
0,210103015013
1,111
2,五爱社区
0,210103015015
1,111
2,青年社区
0,210103015000
1,风雨坛街道
0,210103017001
1,111
2,平顺社区
0,210103017004
1,111
2,翠生社区
0,210103017005
1,111
2,帅府社区
0,210103017007
1,111
2,西华社区
0,210103017008
1,111
2,正义社区
0,210103017000
1,皇城街道
0,210103018002
1,111
2,地王社区
0,210103018004
1,111
2,金生社区
0,210103018005
1,111
2,药大社区
0,210103018006
1,111
2,总院社区
0,210103018007
1,111
2,盛华苑社区
0,210103018008
1,111
2,文翠社区
0,210103018009
1,111
2,河畔社区
0,210103018010
1,111
2,塔园社区
0,210103018011
1,111
2,翠塔社区
0,210103018000
1,五里河街道
0,210103019003
1,111
2,荟萃社区
0,210103019006
1,111
2,南塔社区
0,210103019007
1,111
2,萃苑社区
0,210103019009
1,111
2,文荟社区
0,210103019010
1,111
2,天坛社区
0,210103019011
1,111
2,柳塘社区
0,210103019012
1,111
2,富民社区
0,210103019000
1,南塔街道
0,210103020016
1,111
2,福康社区
0,210103020017
1,111
2,方家栏社区
0,210103020018
1,111
2,凌云社区
0,210103020019
1,111
2,御龙社区
0,210103020020
1,111
2,佳和社区
0,210103020021
1,111
2,上木场社区
0,210103020000
1,泉园街道
0,210103021001
1,111
2,丰乐社区
0,210103021002
1,111
2,长青社区
0,210103021010
1,111
2,溪林社区
0,210103021011
1,111
2,青阳社区
0,210103021012
1,111
2,万科社区
0,210103021013
1,111
2,和泰社区
0,210103021021
1,111
2,东方威尼斯社区
0,210103021000
1,丰乐街道
0,210103022001
1,111
2,农科院社区
0,210103022002
1,111
2,农大社区
0,210103022003
1,111
2,后陵社区
0,210103022004
1,111
2,东大营社区
0,210103022005
1,111
2,福陵社区
0,210103022006
1,111
2,东大营西社区
0,210103022000
1,马官桥街道
0,210103023001
1,111
2,新立堡社区
0,210103023003
1,111
2,马官桥社区
0,210103023004
1,111
2,高官台社区
0,210103023005
1,111
2,海棠社区
0,210103023008
1,111
2,东塔社区
0,210103023009
1,111
2,榆树屯社区
0,210103023011
1,111
2,保利社区
0,210103023017
1,111
2,八家子社区
0,210103023022
1,111
2,喜勤里社区
0,210103023025
1,111
2,双安社区
0,210103023026
1,111
2,上东花墅社区
0,210103023027
1,111
2,五月花社区
0,210103023000
1,东陵街道
0,210103000000
1,沈河区
0,210104002008
1,111
2,华乐社区
0,210104002009
1,111
2,华炉社区
0,210104002013
1,111
2,付家社区
0,210104002014
1,111
2,北苑社区
0,210104002017
1,111
2,尚品社区
0,210104002018
1,111
2,白塔社区
0,210104002019
1,111
2,翠华社区
0,210104002020
1,111
2,取义社区
0,210104002021
1,111
2,边墙社区
0,210104002022
1,111
2,绿苑社区
0,210104002023
1,111
2,枫合社区
0,210104002000
1,大北街道
0,210104003004
1,111
2,魁星社区
0,210104003006
1,111
2,舟泉社区
0,210104003009
1,111
2,金星社区
0,210104003011
1,111
2,河沿社区
0,210104003013
1,111
2,永丰社区
0,210104003014
1,111
2,东逸社区
0,210104003015
1,111
2,万泉社区
0,210104003000
1,万泉街道
0,210104004002
1,111
2,公务员社区
0,210104004004
1,111
2,合作社区
0,210104004008
1,111
2,世博社区
0,210104004012
1,111
2,吉祥社区
0,210104004014
1,111
2,北海社区
0,210104004015
1,111
2,铁岭社区
0,210104004016
1,111
2,法库社区
0,210104004017
1,111
2,梨树社区
0,210104004018
1,111
2,大北桥社区
0,210104004019
1,111
2,如意社区
0,210104004000
1,洮昌街道
0,210104006001
1,111
2,劳动社区
0,210104006002
1,111
2,生产社区
0,210104006005
1,111
2,乐群社区
0,210104006007
1,111
2,和平社区
0,210104006008
1,111
2,团结社区
0,210104006010
1,111
2,幸福社区
0,210104006014
1,111
2,三家子社区
0,210104006015
1,112
2,前詹社区
0,210104006016
1,111
2,柳岗社区
0,210104006017
1,112
2,朱尔社区
0,210104006018
1,112
2,木匠社区
0,210104006020
1,111
2,文兴社区
0,210104006000
1,文官街道
0,210104007003
1,111
2,前进社区
0,210104007022
1,111
2,林韵社区
0,210104007027
1,111
2,观泉苑社区
0,210104007030
1,111
2,北大营社区
0,210104007035
1,111
2,柳邻社区
0,210104007036
1,111
2,摩尔社区
0,210104007037
1,111
2,福安社区
0,210104007000
1,二台子街道
0,210104008001
1,111
2,德增社区
0,210104008004
1,111
2,百乐社区
0,210104008008
1,111
2,锦绣社区
0,210104008009
1,111
2,大华社区
0,210104008015
1,111
2,五月社区
0,210104008020
1,111
2,河畔社区
0,210104008021
1,111
2,荣乐社区
0,210104008022
1,111
2,中学堂社区
0,210104008023
1,111
2,百兴社区
0,210104008000
1,津桥街道
0,210104009001
1,111
2,东站社区
0,210104009002
1,111
