,0
0,360101000000
1,市辖区
0,360102001001
1,111
2,上营坊社区居委会
0,360102001002
1,111
2,民德路社区居委会
0,360102001003
1,111
2,经堂巷社区居委会
0,360102001004
1,111
2,戴家巷社区居委会
0,360102001005
1,111
2,环湖路社区居委会
0,360102001007
1,111
2,妇保家委会
0,360102001008
1,111
2,江西宾馆家委会
0,360102001009
1,111
2,永宁社区居委会
0,360102001000
1,公园街道办事处
0,360102002001
1,111
2,民巷社区居委会
0,360102002002
1,111
2,章江路社区居委会
0,360102002004
1,111
2,上凤凰坡社区居委会
0,360102002005
1,111
2,滕王阁社区居委会
0,360102002006
1,111
2,射步亭社区居委会
0,360102002007
1,111
2,李家巷社区居委会
0,360102002008
1,111
2,子固路社区居委会
0,360102002009
1,111
2,铁街社区居委会
0,360102002010
1,111
2,榕门路社区居委会
0,360102002000
1,滕王阁街道办事处
0,360102003001
1,111
2,大士院西区社区居委会
0,360102003002
1,111
2,大士院北区社区居委会
0,360102003003
1,111
2,大士院南区社区居委会
0,360102003004
1,111
2,豫章后街社区居委会
0,360102003005
1,111
2,芭茅巷社区居委会
0,360102003006
1,111
2,裘家厂社区居委会
0,360102003007
1,111
2,叠山路西社区居委会
0,360102003000
1,八一桥街道办事处
0,360102004001
1,111
2,刘将军庙社区居委会
0,360102004002
1,111
2,状元桥社区居委会
0,360102004003
1,111
2,火神庙社区居委会
0,360102004004
1,111
2,南湖路社区居委会
0,360102004005
1,111
2,渊明北路社区居委会
0,360102004006
1,111
2,白马庙社区居委会
0,360102004007
1,111
2,邮政路社区居委会
0,360102004008
1,111
2,杨家厂社区居委会
0,360102004009
1,111
2,小金台社区居委会
0,360102004010
1,111
2,包家巷社区居委会
0,360102004011
1,111
2,桂旺巷社区居委会
0,360102004012
1,111
2,市第一医院家委会
0,360102004000
1,百花洲街道办事处
0,360102005001
1,111
2,党家巷社区居委会
0,360102005002
1,111
2,张家厂社区居委会
0,360102005003
1,111
2,墩子塘社区居委会
0,360102005004
1,111
2,右营街社区居委会
0,360102005005
1,111
2,马家池社区居委会
0,360102005006
1,111
2,北湖社区居委会
0,360102005007
1,111
2,下水巷社区居委会
0,360102005009
1,111
2,江中家委会
0,360102005010
1,111
