,0
0,140101000000
1,市辖区
0,140105001001
1,111
2,师范街社区居委会
0,140105001002
1,111
2,山西大学社区居委会
0,140105001003
1,111
2,八一社区居委会
0,140105001004
1,111
2,许坦西街社区居委会
0,140105001005
1,111
2,坞城南路社区居委会
0,140105001006
1,111
2,坞城路东社区居委会
0,140105001007
1,111
2,坞城路西社区居委会
0,140105001008
1,111
2,并州南路一社区居委会
0,140105001009
1,111
2,并州南路二社区居委会
0,140105001010
1,111
2,太航社区居委会
0,140105001011
1,111
2,学府街东社区居委会
0,140105001012
1,111
2,国际大都会社区居委会
0,140105001013
1,111
2,开元社区居委会
0,140105001014
1,111
2,坞城社区居委会
0,140105001015
1,111
2,锦绣社区居委会
0,140105001016
1,111
2,南中环社区居委会
0,140105001017
1,111
2,北张社区居委会
0,140105001018
1,111
2,云水明珠社区居委会
0,140105001000
1,坞城街道办事处
0,140105002001
1,111
2,南十方张家巷社区居委会
0,140105002002
1,111
2,东岗路一社区居委会
0,140105002003
1,111
2,东岗路二社区居委会
0,140105002004
1,111
2,并州南路一社区居委会
0,140105002005
1,111
2,并州南路二社区居委会
0,140105002006
1,111
2,并州南路三社区居委会
0,140105002007
1,111
2,并州南路西一巷社区居委会
0,140105002008
1,111
2,并州南路西二巷社区居委会
0,140105002009
1,111
2,体育路一社区居委会
0,140105002010
1,111
2,体育路二社区居委会
0,140105002011
1,111
2,南内环街一社区居委会
0,140105002012
1,111
2,南内环街二社区居委会
0,140105002013
1,111
2,长治路一社区居委会
0,140105002014
1,111
2,长治路二社区居委会
0,140105002015
1,111
2,长治路三社区居委会
0,140105002016
1,111
2,平阳路一社区居委会
0,140105002017
1,111
2,平阳路二社区居委会
0,140105002018
1,111
2,平阳路三社区居委会
0,140105002019
1,111
2,王村社区居委会
0,140105002020
1,111
2,狄村社区居委会
0,140105002021
1,111
2,寇庄社区居委会
0,140105002000
1,营盘街道办事处
0,140105003001
1,111
2,山针社区居委会
0,140105003002
1,111
2,田和社区居委会
0,140105003003
1,111
2,许坦社区居委会
0,140105003004
1,111
2,晋瑞苑社区居委会
0,140105003005
1,111
2,常青藤社区居委会
0,140105003006
1,111
2,南站东社区居委会
0,140105003007
1,111
2,电修社区居委会
0,140105003008
1,111
2,山毛社区居委会
0,140105003009
1,111
2,许西社区居委会
0,140105003010
1,111
2,许东社区居委会
0,140105003011
1,111
2,龙堡社区居委会
0,140105003012
1,112
2,南坪头社区居委会
0,140105003013
1,112
2,西峰社区居委会
0,140105003014
1,220
2,岗头社区居委会
0,140105003015
1,220
2,道把社区居委会
0,140105003016
1,220
2,老峰社区居委会
0,140105003017
1,220
2,黑驼社区居委会
0,140105003207
1,220
2,西家凹村委会
0,140105003000
1,北营街道办事处
0,140105004001
1,111
2,南环社区居委会
0,140105004002
1,111
2,平北西一社区居委会
0,140105004003
1,111
2,平北西二社区居委会
0,140105004004
1,111
2,长风社区居委会
0,140105004005
1,111
2,滨东社区居委会
0,140105004006
1,111
2,水总社区居委会
0,140105004007
1,111
2,汽造社区居委会
0,140105004008
1,111
2,文华苑社区居委会
0,140105004009
1,111
2,中辐院社区居委会
0,140105004010
1,111
2,二零七所社区居委会
0,140105004011
1,111
2,六九零四社区居委会
0,140105004012
1,111
2,前机社区居委会
0,140105004013
1,111
2,亲贤社区居委会
0,140105004014
1,111
2,杨家堡社区居委会
0,140105004015
1,111
2,殷家堡社区居委会
0,140105004017
1,111
2,大马社区居委会
0,140105004018
1,111
2,长治路社区居委会
0,140105004019
1,111
2,平阳景苑社区居委会
0,140105004000
1,平阳路街道办事处
0,140105005001
1,111
2,教育学院社区居委会
0,140105005002
1,111
2,农科南路一社区居委会
0,140105005003
1,111
2,农科南路二社区居委会
0,140105005004
1,111
2,煤机社区居委会
0,140105005005
1,111
2,民航社区居委会
0,140105005010
1,112
2,北营社区居委会
0,140105005011
1,112
2,郑村社区居委会
0,140105005012
1,112
2,东峰社区居委会
0,140105005013
1,111
2,黄陵社区居委会
0,140105005014
1,112
2,马练营社区居委会
0,140105005015
1,112
2,窑子上社区居委会
0,140105005212
1,220
2,五龙沟村委会
0,140105005000
1,黄陵街道办事处
0,140105006001
1,111
2,通达街社区居委会
0,140105006002
1,111
2,康宁街社区居委会
0,140105006003
1,111
2,汾东南路社区居委会
0,140105006004
1,111
2,永康北路社区居委会
0,140105006006
1,111
2,大村社区居委会
0,140105006007
1,111
2,巩家堡社区居委会
0,140105006008
1,111
2,恒大社区居委会
0,140105006009
1,111
2,人民南路社区居委会
0,140105006010
1,111
2,小店社区居委会
0,140105006011
1,111
2,李家庄社区居委会
0,140105006012
1,112
2,东桥社区居委会
0,140105006013
1,112
2,西桥社区居委会
0,140105006014
1,112
2,宋环社区居委会
0,140105006015
1,112
2,温家堡社区居委会
0,140105006016
1,112
2,贾家寨社区居委会
0,140105006017
1,111
2,真武南路社区居委会
0,140105006207
1,220
2,孙家寨村委会
0,140105006209
1,220
2,杜家寨村委会
0,140105006000
1,小店街道办事处
0,140105007001
1,112
2,北畔社区居委会
0,140105007002
1,112
2,大吴社区居委会
0,140105007003
1,112
2,小吴社区居委会
0,140105007004
1,112
2,西吴社区居委会
0,140105007005
1,111
2,新庄社区居委会
0,140105007006
1,112
2,新营社区居委会
0,140105007007
1,112
2,小马社区居委会
0,140105007008
1,112
2,嘉节社区居委会
0,140105007009
1,112
2,范家堡社区居委会
0,140105007010
1,111
2,易城社区居委会
0,140105007011
1,111
2,首开社区居委会
0,140105007012
1,112
2,红寺社区居委会
0,140105007000
1,龙城街道办事处
0,140105100202
1,220
2,郜村村委会
0,140105100209
1,220
2,东蒲村委会
0,140105100210
1,220
2,西蒲村委会
0,140105100211
1,220
2,南蒲村委会
0,140105100212
1,121
2,侯家寨村委会
0,140105100213
1,122
2,同过村委会
0,140105100215
1,220
2,代家堡村委会
0,140105100216
1,220
2,南代家堡村委会
0,140105100217
1,220
2,流涧村委会
0,140105100218
1,220
2,梁家庄村委会
0,140105100000
1,北格镇
0,140105200001
1,122
2,武宿社区居委会
0,140105200002
1,122
2,西拈社区居委会
0,140105200003
1,122
2,西贾社区居委会
0,140105200007
1,210
2,高中社区居委会
0,140105200008
1,112
2,薛店社区居委会
0,140105200202
1,122
2,寺庄村委会
0,140105200203
1,220
2,北王名村委会
0,140105200000
1,西温庄乡
0,140105201201
1,220
2,王吴村委会
0,140105201202
1,220
2,南马村委会
0,140105201203
1,220
2,洛阳村委会
0,140105201204
1,220
2,石沟村委会
0,140105201205
1,220
2,东里解村委会
0,140105201206
1,220
2,西里解村委会
0,140105201207
1,220
2,河滩村委会
0,140105201208
1,210
2,刘家堡村委会
0,140105201209
1,220
2,东柳林村委会
0,140105201210
1,220
2,西柳林村委会
0,140105201211
1,220
2,监军庄村委会
0,140105201212
1,220
2,西草寨村委会
0,140105201213
1,220
2,东草寨村委会
0,140105201000
1,刘家堡乡
0,140105000000
1,小店区
0,140106001001
1,111
2,察院后社区居委会
0,140106001002
1,111
2,宁化府社区居委会
0,140106001003
1,111
2,柴市巷社区居委会
0,140106001004
1,111
2,校蔚营社区居委会
0,140106001005
1,111
2,海子边西街社区居委会
0,140106001006
1,111
2,海子边东街社区居委会
0,140106001007
1,111
2,开化寺街南社区居委会
0,140106001008
1,111
2,铁匠巷社区居委会
0,140106001009
1,111
2,起凤街社区居委会
0,140106001000
1,柳巷街道办事处
0,140106002001
1,111
2,文庙社区居委会
