,0
0,640101000000
1,市辖区
0,640104001002
1,111
2,崇安社区居委会
0,640104001003
1,111
2,兴隆社区居委会
0,640104001005
1,111
2,北安社区居委会
0,640104001007
1,111
2,安秀社区居委会
0,640104001008
1,111
2,阳澄社区居委会
0,640104001010
1,111
2,北塔社区居委会
0,640104001011
1,111
2,民运社区居委会
0,640104001000
1,凤凰北街街道办事处
0,640104002001
1,111
2,文艺社区居委会
0,640104002003
1,111
2,北苑社区居委会
0,640104002004
1,111
2,健康社区居委会
0,640104002006
1,111
2,银湖社区居委会
0,640104002008
1,111
2,海宝社区居委会
0,640104002009
1,111
2,华新社区居委会
0,640104002000
1,解放西街街道办事处
0,640104003001
1,111
2,山河湾社区居委会
0,640104003004
1,111
2,丰收社区居委会
0,640104003006
1,111
2,幸福社区居委会
0,640104003007
1,111
2,游乐社区居委会
0,640104003008
1,111
2,信义社区居委会
0,640104003009
1,111
2,天成社区居委会
0,640104003000
1,文化街街道办事处
0,640104004001
1,111
2,中寺社区居委会
0,640104004003
1,111
2,利群社区居委会
0,640104004004
1,111
2,大庙社区居委会
0,640104004006
1,111
2,自强社区居委会
0,640104004008
1,111
2,西关社区居委会
0,640104004009
1,111
2,南苑社区居委会
0,640104004000
1,富宁街街道办事处
0,640104005001
1,111
2,鼓楼社区居委会
0,640104005004
1,111
2,正丰社区居委会
0,640104005005
1,111
2,富华社区居委会
0,640104005006
1,111
2,永安社区居委会
0,640104005007
1,111
2,裕民社区居委会
0,640104005008
1,111
2,长信社区居委会
0,640104005009
1,111
2,双城门社区居委会
0,640104005010
1,111
2,宝庆社区居委会
0,640104005000
1,新华街街道办事处
0,640104006001
1,121
2,八一社区居委会
0,640104006003
1,121
2,高台社区居委会
0,640104006004
1,121
2,北关社区居委会
0,640104006007
1,121
2,永康社区居委会
0,640104006008
1,111
2,青山社区居委会
0,640104006009
1,121
2,东方社区居委会
0,640104006000
1,玉皇阁北街街道办事处
0,640104007003
1,111
2,陶瓷社区居委会
0,640104007005
1,111
2,华林社区居委会
0,640104007006
1,111
2,银华社区居委会
0,640104007007
1,111
2,星光华社区居委会
0,640104007008
1,111
2,西塔社区居委会
0,640104007000
1,前进街街道办事处
0,640104008002
1,111
2,新宁社区居委会
0,640104008004
1,111
2,康华社区居委会
0,640104008006
1,111
2,安和社区居委会
0,640104008007
1,111
2,富强社区居委会
0,640104008008
1,111
2,清和社区居委会
0,640104008009
1,111
2,金南社区居委会
0,640104008010
1,111
2,民乐社区居委会
0,640104008000
1,中山南街街道办事处
0,640104009002
1,121
2,春园社区居委会
0,640104009003
1,121
2,丽景社区居委会
0,640104009004
1,121
2,丽水社区居委会
0,640104009011
1,121
2,福园社区居委会
0,640104009012
1,121
2,景湖社区居委会
0,640104009013
1,111
2,迎宾社区居委会
0,640104009014
1,121
2,友爱社区居委会
0,640104009015
1,121
2,云和社区居委会
0,640104009016
1,121
2,康园社区居委会
0,640104009017
1,121
2,宝南社区居委会
0,640104009201
1,123
2,光华门村委会
0,640104009202
1,123
2,高台寺村委会
0,640104009203
1,123
2,友爱村委会
0,640104009000
1,银古路街道办事处
0,640104010007
1,111
2,康馨社区居委会
0,640104010008
1,111
2,南华社区居委会
0,640104010009
1,111
2,天盛社区居委会
0,640104010010
1,111
2,景园社区居委会
0,640104010012
1,111
2,祥和社区居委会
0,640104010013
1,111
2,家园社区居委会
0,640104010014
1,111
2,紫金社区居委会
0,640104010015
1,111
2,清苑社区居委会
0,640104010016
1,111
2,上前社区居委会
0,640104010000
1,胜利街街道办事处
0,640104011001
1,111
2,银虹社区居委会
0,640104011002
1,111
2,八里桥社区居委会
0,640104011003
1,111
2,双庄社区居委会
0,640104011004
1,112
2,满春社区居委会
0,640104011006
1,111
2,景墨社区居委会
0,640104011007
1,111
2,景太社区居委会
0,640104011008
1,111
2,雅苑社区居委会
0,640104011009
1,111
2,庆春社区居委会
0,640104011010
1,111
2,观湖社区居委会
0,640104011011
1,111
2,泰和社区居委会
0,640104011012
1,111
2,兰溪社区居委会
0,640104011013
1,111
2,春城社区居委会
0,640104011201
1,123
2,八里桥村委会
0,640104011202
1,123
2,双庄村委会
0,640104011203
1,123
2,满春村委会
0,640104011204
1,123
2,北塔村委会
0,640104011000
1,丽景街街道办事处
0,640104100001
1,121
2,横城花园社区居委会
0,640104100200
1,121
2,掌政村委会
0,640104100201
1,220
2,春林村委会
0,640104100202
1,220
2,洼路村委会
0,640104100203
1,220
2,五渡桥村委会
0,640104100204
1,220
2,镇河村委会
0,640104100205
1,220
2,孔雀村委会
0,640104100206
1,220
2,永南村委会
0,640104100207
1,220
2,碱富桥村委会
0,640104100208
1,220
2,强家庙村委会
0,640104100210
1,220
2,杨家寨村委会
0,640104100211
1,220
2,茂盛村委会
0,640104100000
1,掌政镇
0,640104101001
1,111
2,聚丰园社区居委会
0,640104101002
1,111
2,东城人家社区居委会
0,640104101200
1,220
2,上前城村委会
0,640104101201
1,220
2,塔桥村委会
0,640104101202
1,220
2,燕鸽村委会
0,640104101203
1,220
2,新渠稍村委会
0,640104101204
1,220
2,新水桥村委会
0,640104101205
1,111
2,大新村委会
0,640104101000
1,大新镇
0,640104200200
1,220
2,通南村委会
0,640104200201
1,210
2,通贵村委会
