,0
0,320101000000
1,市辖区
0,320102002001
1,111
2,梅园新村社区居委会
0,320102002002
1,111
2,大行宫社区居委会
0,320102002005
1,111
2,大影壁社区居委会
0,320102002006
1,111
2,东南大学社区居委会
0,320102002007
1,111
2,兰园社区居委会
0,320102002009
1,111
2,太平门社区居委会
0,320102002010
1,111
2,明故宫社区居委会
0,320102002011
1,111
2,北安门社区居委会
0,320102002012
1,111
2,富贵山社区居委会
0,320102002000
1,梅园新村街道
0,320102003001
1,111
2,香铺营社区居委会
0,320102003002
1,111
2,长江路社区居委会
0,320102003003
1,111
2,北门桥社区居委会
0,320102003009
1,111
2,唱经楼社区居委会
0,320102003011
1,111
2,大石桥社区居委会
0,320102003015
1,111
2,成贤街社区居委会
0,320102003000
1,新街口街道
0,320102005001
1,111
2,百子亭社区居委会
0,320102005003
1,111
2,台城花园社区居委会
0,320102005004
1,111
2,天山路社区居委会
0,320102005005
1,111
2,高楼门社区居委会
0,320102005007
1,111
2,大树根社区居委会
0,320102005008
1,111
2,廖家巷社区居委会
0,320102005009
1,111
2,公教一村社区居委会
0,320102005000
1,玄武门街道
0,320102007002
1,111
2,锁一社区居委会
0,320102007003
1,111
2,锁二社区居委会
0,320102007004
1,111
2,锁三社区居委会
0,320102007005
1,111
2,锁四社区居委会
0,320102007006
1,111
2,锁五社区居委会
0,320102007007
1,111
2,紫鑫城社区居委会
0,320102007009
1,111
2,新庄社区居委会
0,320102007000
1,锁金村街道
0,320102008001
1,111
2,营苑社区居委会
0,320102008002
1,111
2,墨香山庄社区居委会
0,320102008003
1,111
2,月苑社区居委会
0,320102008004
1,111
2,红山社区居委会
0,320102008005
1,111
2,曹后社区居委会
0,320102008006
1,111
2,北苑社区居委会
0,320102008007
1,111
2,藤子社区居委会
0,320102008008
1,111
2,红山公园社区居委会
0,320102008009
1,111
2,阳光嘉园社区居委会
0,320102008010
1,111
2,紫金小营社区居委会
0,320102008000
1,红山街道
0,320102009002
1,111
2,小卫街社区居委会
0,320102009003
1,111
2,孝陵卫社区居委会
0,320102009005
1,111
2,晏公庙社区居委会
0,320102009006
1,111
2,钟灵街社区居委会
0,320102009007
1,111
2,农科院社区居委会
0,320102009008
1,111
2,盛和家园社区居委会
0,320102009009
1,111
2,铁匠营社区居委会
0,320102009011
1,111
2,康定里社区居委会
0,320102009012
1,111
2,南京农业大学社区居委会
0,320102009013
1,111
2,南京理工大学社区居委会
0,320102009014
1,111
2,银城东苑社区居委会
0,320102009000
1,孝陵卫街道
0,320102010001
1,111
2,板仓社区居委会
0,320102010002
1,111
2,花园路社区居委会
0,320102010003
1,111
2,蒋王庙社区居委会
0,320102010004
1,111
2,樱铁村社区居委会
0,320102010005
1,111
2,樱驼花园社区居委会
0,320102010006
1,111
2,东方城社区居委会
0,320102010007
1,111
2,聚宝山社区居委会
0,320102010008
1,111
2,仙鹤门社区居委会
0,320102010009
1,111
2,仙居雅苑社区居委会
0,320102010000
1,玄武湖街道
0,320102400498
1,111
2,徐庄高新技术产业开发区虚拟社区
0,320102400000
1,徐庄高新技术产业开发区
0,320102000000
1,玄武区
0,320104001001
1,111
2,中牌楼社区居委会
0,320104001002
1,111
2,康居里社区居委会
0,320104001003
1,111
2,乔虹苑社区居委会
0,320104001004
1,111
2,集虹苑社区居委会
0,320104001006
1,111
2,武定新村社区居委会
0,320104001007
1,111
2,旭光里社区居委会
0,320104001008
1,111
2,岗虹苑社区居委会
0,320104001009
1,111
2,扇骨里社区居委会
0,320104001010
1,111
2,枫丹白露社区居委会
0,320104001011
1,111
2,怡謦花园社区居委会
0,320104001000
1,秦虹街道
0,320104002001
1,111
2,莲子营社区居委会
0,320104002002
1,111
2,东水关社区居委会
0,320104002005
1,111
2,乌衣巷社区居委会
0,320104002009
1,111
2,金陵路社区居委会
0,320104002012
1,111
2,小西湖社区居委会
0,320104002015
1,111
2,饮虹园社区居委会
0,320104002016
1,111
2,江宁路社区居委会
0,320104002019
1,111
2,门东社区居委会
0,320104002000
1,夫子庙街道
0,320104003001
1,111
2,九龙新寓社区居委会
0,320104003003
1,111
2,响水桥社区居委会
0,320104003004
1,111
2,龙苑新寓社区居委会
0,320104003005
1,111
2,阳光里社区居委会
0,320104003006
1,111
2,风光里社区居委会
0,320104003007
1,111
