,0
0,230101000000
1,市辖区
0,230102001001
1,111
2,省报社社区居委会
0,230102001002
1,111
2,索菲亚社区居委会
0,230102001003
1,111
2,兆麟社区居委会
0,230102001004
1,111
2,森林社区居委会
0,230102001000
1,兆麟街道办事处
0,230102002001
1,111
2,银都社区居委会
0,230102002002
1,111
2,新阳社区居委会
0,230102002003
1,111
2,地德里北段社区居委会
0,230102002005
1,111
2,安化北段社区居委会
0,230102002000
1,新阳路街道办事处
0,230102003001
1,111
2,安祥社区居委会
0,230102003002
1,111
2,抚安社区居委会
0,230102003003
1,111
2,抚顺社区居委会
0,230102003004
1,111
2,安吉社区居委会
0,230102003005
1,111
2,地德里社区居委会
0,230102003000
1,抚顺街道办事处
0,230102004001
1,111
2,福乐湾社区居委会
0,230102004002
1,111
2,大民兴东段社区居委会
0,230102004003
1,111
2,大民兴中段社区居委会
0,230102004004
1,111
2,大民兴西段社区居委会
0,230102004005
1,111
2,民众社区居委会
0,230102004006
1,111
2,福同社区居委会
0,230102004007
1,111
2,民庆社区居委会
0,230102004008
1,111
2,光华社区居委会
0,230102004009
1,111
2,民桥社区居委会
0,230102004010
1,111
2,民安街社区居委会
0,230102004012
1,111
2,民茂社区居委会
0,230102004013
1,111
2,欧洲新城社区居委会
0,230102004000
1,共乐街道办事处
0,230102005002
1,111
2,埃德蒙顿路社区居委会
0,230102005003
1,111
2,新华社区居委会
0,230102005004
1,111
2,乡政社区居委会
0,230102005005
1,111
2,顾新路社区居委会
0,230102005006
1,111
2,恒祥城社区居委会
0,230102005007
1,111
2,理工大学社区居委会
0,230102005009
1,111
2,天合社区居委会
0,230102005010
1,111
2,大发社区居委会
0,230102005013
1,111
2,顾乡电信社区居委会
0,230102005014
1,111
2,清河湾社区居委会
0,230102005000
1,新华街道办事处
0,230102006003
1,111
2,秀河湾社区居委会
0,230102006004
1,111
2,美河湾社区居委会
0,230102006005
1,111
2,丽河湾社区居委会
0,230102006006
1,111
2,西客站社区居委会
0,230102006007
1,111
2,报达家园社区居委会
0,230102006008
1,111
2,天薇社区居委会
0,230102006009
1,111
2,翡翠城社区居委会
0,230102006010
1,111
2,迎宾社区居委会
0,230102006011
1,111
2,丽水社区居委会
0,230102006012
1,111
2,福尚社区居委会
0,230102006013
1,111
2,阳光社区居委会
0,230102006014
1,111
2,益民社区居委会
0,230102006000
1,城乡路街道办事处
0,230102007001
1,111
2,美晨社区居委会
0,230102007002
1,111
2,天鹅湾社区委员会
0,230102007003
1,111
2,景江社区委员会
0,230102007004
1,111
2,玫瑰湾社区居委会
0,230102007005
1,111
2,新城社区居委会
0,230102007007
1,111
2,恒盛社区居委会
0,230102007009
1,111
2,盛和天下社区居委会
0,230102007010
1,111
2,漫步巴黎社区居委会
0,230102007011
1,111
2,金河社区居委会
0,230102007012
1,111
2,宝石花园社区居委会
0,230102007013
1,111
2,观江社区居委会
0,230102007014
1,111
2,赫郡社区居委会
0,230102007015
1,111
2,盛和世纪社区居委会
0,230102007016
1,111
2,丽江社区居委会
0,230102007000
1,工农街道办事处
0,230102008001
1,111
2,西十五道街社区居委会
0,230102008002
1,111
2,中央大街社区居委会
0,230102008003
1,111
2,斜角街社区居委会
0,230102008000
1,尚志街道办事处
0,230102009001
1,111
2,江桥社区居委会
0,230102009002
1,111
2,地段北社区居委会
0,230102009003
1,111
2,花圃社区居委会
0,230102009000
1,斯大林街道办事处
0,230102010002
1,111
2,友谊社区居委会
0,230102010003
1,111
2,上红社区居委会
0,230102010005
1,111
2,红专社区居委会
0,230102010006
1,111
2,红星广场社区居委会
0,230102010000
1,通江街道办事处
0,230102011002
1,111
2,大安社区居委会
0,230102011003
1,111
2,经纬七社区居委会
0,230102011005
1,111
2,北安社区居委会
0,230102011007
1,111
2,东段社区居委会
0,230102011008
1,111
2,霁虹桥社区居委会
0,230102011000
1,经纬街道办事处
0,230102012001
1,111
2,红专西段社区居委会
0,230102012004
1,111
2,工程东段社区居委会
0,230102012006
1,111
2,友谊小区社区居委会
0,230102012007
1,111
2,工部南段社区居委会
0,230102012010
1,111
2,工程社区居委会
0,230102012000
1,工程街道办事处
0,230102013001
1,111
2,安正社区居委会
0,230102013002
1,111
2,安康社区居委会
0,230102013003
1,111
2,安顺社区居委会
0,230102013005
1,111
2,安松社区居委会
0,230102013008
1,111
2,安升社区居委会
0,230102013009
1,111
2,安静社区居委会
0,230102013010
1,111
2,安良社区居委会
0,230102013011
1,111
2,安国社区居委会
0,230102013000
1,安静街道办事处
0,230102014001
1,111
2,安和社区居委会
0,230102014002
1,111
2,安广社区居委会
0,230102014003
1,111
2,安德社区居委会
0,230102014005
1,111
2,广发社区居委会
0,230102014006
1,111
2,正义社区居委会
0,230102014000
1,安和街道办事处
0,230102015001
1,111
2,公路大桥社区居委会
0,230102015002
1,111
2,融府大厦社区居委会
0,230102015004
1,111
2,河梁社区居委会
0,230102015005
1,111
2,河曲社区居委会
0,230102015006
1,111
2,河江社区居委会
0,230102015007
1,111
