,0
0,610101000000
1,市辖区
0,610102001001
1,111
2,民乐社区居委会
0,610102001003
1,111
2,红会社区居委会
0,610102001004
1,111
2,广场社区居委会
0,610102001005
1,111
2,尚朴社区居委会
0,610102001007
1,111
2,兴盛社区居委会
0,610102001008
1,111
2,新民社区居委会
0,610102001009
1,111
2,西三路社区居委会
0,610102001012
1,111
2,兴乐社区居委会
0,610102001000
1,西一路街道办事处
0,610102002001
1,111
2,幸福社区居委会
0,610102002002
1,111
2,金康社区居委会
0,610102002003
1,111
2,康乐社区居委会
0,610102002004
1,111
2,向阳社区居委会
0,610102002005
1,111
2,万年社区居委会
0,610102002006
1,111
2,黄河社区居委会
0,610102002007
1,111
2,华山社区居委会
0,610102002008
1,111
2,西光社区居委会
0,610102002009
1,111
2,昆仑社区居委会
0,610102002010
1,111
2,韩北社区居民委员会
0,610102002011
1,111
2,东尚社区居民委员会
0,610102002000
1,长乐中路街道办事处
0,610102003001
1,111
2,中山社区居委会
0,610102003002
1,111
2,万达社区居民委员会
0,610102003003
1,111
2,昌仁里社区居委会
0,610102003005
1,111
2,东新社区居委会
0,610102003006
1,111
2,安民里社区居委会
0,610102003007
1,111
2,东风坊社区居委会
0,610102003008
1,111
2,南北坊社区居委会
0,610102003010
1,111
2,群策巷社区居委会
0,610102003012
1,111
2,勤民社区居委会
0,610102003013
1,111
2,东三路社区居委会
0,610102003000
1,中山门街道办事处
0,610102004001
1,111
2,咸宁社区居委会
0,610102004002
1,111
2,咸东社区居委会
0,610102004003
1,111
2,爱民社区居委会
0,610102004004
1,111
2,新园社区居委会
0,610102004005
1,111
2,万寿社区居委会
0,610102004006
1,111
2,东方社区居委会
0,610102004007
1,111
2,公园南路社区居委会
0,610102004008
1,111
2,秦川社区居委会
0,610102004009
1,111
2,韩南社区居民委员会
0,610102004010
1,111
2,华清学府城社区居委会
0,610102004000
1,韩森寨街道办事处
0,610102005004
1,111
2,东大院社区居委会
0,610102005005
1,111
2,西六路社区居委会
0,610102005006
1,111
2,环北路社区居委会
0,610102005007
1,111
2,红星社区居委会
0,610102005008
1,111
2,尚平社区居委会
0,610102005009
1,111
2,卫民社区居委会
0,610102005010
1,111
2,兴隆坊社区居委会
0,610102005000
1,解放门街道办事处
0,610102006001
1,111
2,建强社区居委会
0,610102006002
1,111
2,明宫社区居委会
0,610102006003
1,111
2,麟德社区居委会
0,610102006004
1,111
2,航建社区居委会
0,610102006005
1,111
2,栖枫社区居委会
0,610102006006
1,111
2,自强社区居委会
0,610102006007
1,111
2,向荣社区居委会
0,610102006008
1,111
2,阳光社区居委会
0,610102006009
1,111
2,联志社区居民委员会
0,610102006000
1,自强路街道办事处
0,610102007001
1,111
2,笃臣巷社区居委会
0,610102007002
1,111
2,太华南路社区居委会
0,610102007003
1,111
2,东童村社区居委会
0,610102007004
1,111
2,铁路东村社区居委会
0,610102007005
1,111
2,生产村社区居委会
0,610102007006
1,111
2,南郭上村社区居委会
0,610102007007
1,111
2,含元西路社区居委会
0,610102007008
1,111
2,银河坊社区居委会
0,610102007009
1,111
2,东元西路社区居委会
0,610102007010
1,111
2,八府庄社区居委会
0,610102007011
1,111
2,含元东路社区居委会
0,610102007012
1,111
2,纱厂东街社区居委会
0,610102007013
1,111
2,陕棉十一厂社区居委会
0,610102007014
1,111
2,石家街社区居民委员会
0,610102007015
1,111
2,八府庄园社区居民委员会
0,610102007016
1,111
2,含元殿社区居民委员会
0,610102007017
1,111
2,丹凤门社区居民委员会
0,610102007000
1,太华路街道办事处
0,610102008001
1,111
2,安仁坊社区居委会
0,610102008002
1,111
2,半截巷社区居委会
0,610102008003
1,111
2,长乐社区居委会
0,610102008004
1,111
2,康家村社区居委会
0,610102008005
1,111
2,永乐社区居委会
0,610102008006
1,111
2,二七社区居委会
0,610102008007
1,111
2,西电建社区居委会
0,610102008008
1,111
2,四医大社区居委会
0,610102008009
1,111
2,供电局社区居委会
0,610102008011
1,111
2,省农械厂社区居委会
0,610102008012
1,111
2,新兴社区居民委员会
0,610102008000
1,长乐西路街道办事处
0,610102009001
1,111
2,长缨社区居委会
0,610102009002
1,111
2,华清社区居委会
0,610102009003
1,111
2,金花社区居委会
0,610102009004
1,111
2,万东社区居委会
0,610102009005
1,111
2,长缨东路社区居委会
0,610102009006
1,111
2,陕汽社区居委会
0,610102009007
1,111
2,陕建机社区居委会
0,610102009008
1,111
2,西筑社区居委会
0,610102009009
1,111
2,陕机司社区居委会
0,610102009010
1,111
2,西电设社区居委会
0,610102009011
1,111
2,金泰社区居民委员会
0,610102009012
1,111
2,胡一社区居民委员会
0,610102009013
1,111
2,胡二社区居民委员会
0,610102009014
1,111
2,南张社区居民委员会
0,610102009015
1,111
2,北张家庄社区居民委员会
0,610102009016
1,111
2,三府湾社区居民委员会
0,610102009017
1,111
2,骏景社区居民委员会
0,610102009018
1,111
2,唐韵社区居民委员会
0,610102009000
1,胡家庙街道办事处
0,610102000000
1,新城区
0,610103001002
1,111
2,大车家巷社区居委会
0,610103001004
1,111
2,南院门社区居委会
0,610103001005
1,111
2,保吉巷社区居委会
0,610103001006
1,111
2,南广济街社区居委会
0,610103001007
1,111
2,钟楼社区居委会
0,610103001008
1,111
2,印花布园社区居委会
0,610103001009
1,111
2,书院门社区居委会
0,610103001010
1,111
2,德福巷社区居委会
0,610103001000
1,南院门街道办事处
0,610103002001
1,111
2,三学街社区居委会
0,610103002002
1,111
2,端履门社区居委会
0,610103002003
1,111
2,菊花园社区居委会
0,610103002005
1,111
2,开通巷社区居委会
0,610103002006
1,111
2,圪塔寺社区居委会
0,610103002007
1,111
2,马厂子社区居委会
0,610103002008
1,111
2,东仓门社区居委会
0,610103002009
1,111
2,下马陵社区居委会
0,610103002010
1,111
2,东大街社区居委会
0,610103002012
1,111
2,建南社区居委会
0,610103002013
1,111
2,和北社区居委会
0,610103002014
1,111
2,和南社区居委会
0,610103002000
1,柏树林街道办事处
0,610103003001
1,111
2,兴庆社区居委会
0,610103003002
1,111
2,伞塔社区居委会
0,610103003004
1,111
2,孟家巷社区居委会
0,610103003005
1,111
2,长乐社区居委会
0,610103003006
1,111
2,更新社区居委会
0,610103003008
1,111
2,金花社区居委会
0,610103003010
1,111
2,环东社区居委会
0,610103003011
1,111
2,八仙庵社区居委会
0,610103003000
1,长乐坊街道办事处
0,610103004002
1,111
2,曹家巷社区居委会
0,610103004003
1,111
2,卧龙社区居委会
0,610103004004
1,111
2,东关社区居委会
0,610103004005
1,111
2,古迹岭社区居委会
0,610103004006
1,111
2,仁厚庄社区居委会
0,610103004008
1,111
2,金花南路社区居委会
0,610103004009
1,111
2,柿园路社区居委会
0,610103004010
1,111
2,互助社区居委会
0,610103004011
1,111
2,西安工程大学社区居委会
0,610103004012
1,111
2,西安理工大学社区居委会
0,610103004000
1,东关南街街道办事处
0,610103005001
1,111
2,乐居场第一社区居委会
0,610103005002
1,111
2,乐居场第二社区居委会
0,610103005003
1,111
2,兴庆南路社区居委会
0,610103005004
1,111
2,南二环社区居委会
0,610103005005
1,111
2,经九路社区居委会
0,610103005006
1,111
2,标新街社区居委会
0,610103005007
1,111
2,太乙路社区居委会
0,610103005008
1,111
2,建东街社区居委会
0,610103005009
1,111
2,安东街社区居委会
0,610103005010
1,111
2,火炬社区居委会
0,610103005013
1,111
2,西安铁路信号厂社区居委会
0,610103005014
1,111
2,中铁一局集团有限公司机关社区居委会
0,610103005016
1,111
2,西安交通大学社区居委会
0,610103005017
1,111
2,祭台社区居委会
0,610103005018
1,111
2,北沙社区居委会
0,610103005019
1,111
2,南沙社区居委会
0,610103005020
1,111
2,西安铁路局社区居委会
0,610103005021
1,111
2,碑林区太乙路街道办事处永宁苑社区居委会
0,610103005000
1,太乙路街道办事处
0,610103006001
1,111
2,文艺北路一社区居委会
0,610103006002
1,111
2,文艺北路二社区居委会
0,610103006003
1,111
2,文艺南路社区居委会
0,610103006004
1,111
2,环南路社区居委会
0,610103006006
1,111
2,雁塔路北段社区居委会
0,610103006007
1,111
2,测绘路社区居委会
0,610103006009
1,111
2,友谊社区居委会
0,610103006011
1,111
2,建科大社区居委会
0,610103006013
1,111
2,林雁社区居委会
0,610103006000
1,文艺路街道办事处
0,610103007001
1,111
2,新西里社区居委会
0,610103007002
1,111
2,夏家庄社区居委会
0,610103007003
1,111
2,朱雀南社区居委会
0,610103007004
1,111
2,朱雀北社区居委会
0,610103007005
1,111
2,振兴社区居委会
0,610103007006
1,111
2,仁义社区居委会
0,610103007007
1,111
2,永宁社区居委会
0,610103007008
1,111
2,光荣社区居委会
0,610103007009
1,111
2,草场坡社区居委会
0,610103007010
1,111
2,西北勘测设计研究院社区居委会
0,610103007011
1,111
2,总后三五三八工厂社区居委会
0,610103007012
1,111
2,南稍门社区居委会
0,610103007013
1,111
2,小雁塔社区居委会
0,610103007015
1,111
2,南关社区居委会
0,610103007000
1,长安路街道办事处
0,610103008001
1,111
2,军工社区居委会
0,610103008003
1,111
2,文康社区居委会
0,610103008004
1,111
2,科研社区居委会
0,610103008005
1,111
2,鸿雁社区居委会
0,610103008006
1,111
2,交通社区居委会
0,610103008007
1,111
2,水文一社区居委会
0,610103008008
1,111
2,水文二社区居委会
0,610103008009
1,111
2,白庙社区居委会
0,610103008010
1,111
2,红缨社区居委会
0,610103008011
1,111
2,黄雁社区居委会
0,610103008012
1,111
2,融信社区居委会
0,610103008013
1,111
2,太白社区居委会
0,610103008014
1,111
2,西北工业大学社区居委会
0,610103008015
1,111
2,西北大学社区居委会
0,610103008016
1,111
2,黄东社区居民委员会
0,610103008017
1,111
2,黄西社区居委会
0,610103008018
1,111
2,西何社区居民委员会
0,610103008019
1,111
2,边家村社区居民委员会
0,610103008020
1,111
2,白庙路社区居民委员会
0,610103008000
1,张家村街道办事处
0,610103000000
1,碑林区
0,610104001001
1,111
2,莲湖路第一社区居委会
0,610104001002
1,111
2,莲湖路第二社区居委会
0,610104001004
1,111
2,莲湖路第四社区居委会
0,610104001005
1,111
2,青年路第一社区居委会
0,610104001006
1,111
2,青年路第二社区居委会
0,610104001007
1,111
2,青年路第三社区居委会
0,610104001008
1,111
2,糖坊街社区居委会
0,610104001009
1,111
2,东药王洞社区居委会
0,610104001010
1,111
2,西药王洞社区居委会
0,610104001011
1,111
2,习武园社区居委会
0,610104001012
1,111
2,西北一路社区居委会
0,610104001013
1,111
2,安定社区居委会
0,610104001000
1,青年路街道办事处
0,610104002001
1,111
2,社会路社区居委会
0,610104002002
1,111
2,化觉巷社区居委会
0,610104002003
1,111
2,红埠街社区居委会
0,610104002004
1,111
2,二府街社区居委会
0,610104002007
1,111
2,学习巷社区居委会
0,610104002008
1,111
2,洒金桥社区居委会
0,610104002010
1,111
2,贡院门社区居委会
0,610104002011
1,111
2,香米园社区居委会
0,610104002013
1,111
2,白露湾社区居委会
0,610104002014
1,111
2,迎春社区居委会
0,610104002017
1,111
2,双仁府社区居委会
0,610104002020
1,111
2,桥梓口社区居委会
0,610104002000
1,北院门街道办事处
0,610104003001
1,111
2,龙首西北区社区居委会
0,610104003002
1,111
2,龙首西南区社区居委会
0,610104003003
1,111
2,北稍门西社区居委会
0,610104003004
1,111
2,自强社区居委会
0,610104003005
1,111
2,龙首东北区社区居委会
0,610104003006
1,111
2,龙首东南区社区居委会
0,610104003007
1,111
2,北稍门东社区居委会
0,610104003008
1,111
2,阳光村社区居委会
0,610104003009
1,111
2,安远社区居委会
0,610104003010
1,111
2,龙首原社区居委会
0,610104003011
1,111
2,宫园壹号社区居委会
0,610104003000
1,北关街道办事处
0,610104004001
1,111
2,青门社区居委会
0,610104004003
1,111
2,红西村社区居委会
0,610104004004
1,111
2,大兴东路社区居委会
0,610104004005
1,111
2,白家口社区居委会
0,610104004006
1,111
2,工农新村社区居委会
0,610104004009
1,111
