,0
0,370101000000
1,市辖区
0,370102001002
1,111
2,解放桥社区居委会
0,370102001003
1,111
2,历山路社区居委会
0,370102001006
1,111
2,后坡街社区居委会
0,370102001008
1,111
2,十亩园社区居委会
0,370102001009
1,111
2,青龙街社区居委会
0,370102001000
1,解放路街道办事处
0,370102002002
1,111
2,佛山苑社区居委会
0,370102002003
1,111
2,千佛山东路社区居委会
0,370102002004
1,111
2,棋盘街社区居委会
0,370102002005
1,111
2,千佛山西路社区居委会
0,370102002008
1,111
2,千佛山社区居委会
0,370102002009
1,111
2,历山名郡社区居委会
0,370102002010
1,111
2,济柴社区居委会
0,370102002000
1,千佛山街道办事处
0,370102003007
1,111
2,朝山街社区居委会
0,370102003008
1,111
2,趵突泉社区居委会
0,370102003009
1,111
2,青年东路社区居委会
0,370102003010
1,111
2,泺文路社区居委会
0,370102003011
1,111
2,文化西路社区居委会
0,370102003012
1,111
2,舜耕路社区居委会
0,370102003000
1,趵突泉街道办事处
0,370102004003
1,111
2,贡院墙根社区居委会
0,370102004006
1,111
2,临湖街社区居委会
0,370102004008
1,111
2,鞭指巷社区居委会
0,370102004009
1,111
2,芙蓉街社区居委会
0,370102004000
1,泉城路街道办事处
0,370102005001
1,111
2,南北历山街社区居委会
0,370102005002
1,111
2,舜井街社区居委会
0,370102005003
1,111
2,按察司街社区居委会
0,370102005006
1,111
2,县西巷社区居委会
0,370102005009
1,111
2,县东巷社区居委会
0,370102005010
1,111
2,曲水亭社区居委会
0,370102005000
1,大明湖街道办事处
0,370102006012
1,111
2,菜市新村社区居委会
0,370102006013
1,111
2,历山社区居委会
0,370102006014
1,111
2,长盛北区社区居委会
0,370102006015
1,111
2,长盛南区社区居委会
0,370102006016
1,111
2,东仓社区居委会
0,370102006017
1,111
2,泺河社区居委会
0,370102006018
1,111
2,历园新村社区居委会
0,370102006000
1,东关街道办事处
0,370102007001
1,111
2,和平路社区居委会
0,370102007002
1,111
2,山师东路社区居委会
0,370102007003
1,111
2,文化东路居委会
0,370102007004
1,111
2,师东新村社区居委会
0,370102007005
1,111
2,环山路社区居委会
0,370102007006
1,111
2,山大路社区居委会
0,370102007007
1,111
2,羊头峪社区居委会
0,370102007008
1,111
2,科院路社区居委会
0,370102007010
1,111
2,山师大社区居委会
0,370102007011
1,111
2,中创开元山庄社区居委会
0,370102007012
1,111
2,清华园社区居委会
0,370102007013
1,111
2,万豪社区居委会
0,370102007014
1,111
2,建达南苑社区居委会
0,370102007015
1,111
2,建达北苑社区居委会
0,370102007000
1,文东街道办事处
0,370102008002
1,111
2,解放路社区居委会
0,370102008013
1,111
2,和平新村社区居委会
0,370102008014
1,111
2,历山东路社区居委会
0,370102008015
1,111
2,绿景嘉园社区居委会
0,370102008016
1,111
2,花园路社区居委会
0,370102008000
1,建新街道办事处
0,370102009001
1,111
2,甸柳新村第三社区居委会
0,370102009002
1,111
2,甸柳新村第一社区居委会
0,370102009003
1,111
2,甸柳新村第二社区居委会
0,370102009004
1,111
2,甸柳新村第四社区居委会
0,370102009005
1,111
2,甸柳新村第五社区居委会
0,370102009006
1,111
2,甸柳新村甸北社区居委会
0,370102009007
1,111
2,甸柳新村甸南社区居委会
0,370102009008
1,111
2,吉祥苑社区居委会
0,370102009000
1,甸柳街道办事处
0,370102010001
1,111
2,燕子山小区社区居委会
0,370102010002
1,111
2,燕南社区居委会
0,370102010003
1,111
2,燕北社区居委会
0,370102010004
1,111
2,燕山路社区居委会
0,370102010005
1,111
2,和平路北社区居委会
0,370102010006
1,111
2,益寿路社区居委会
0,370102010017
1,111
2,燕文社区居委会
0,370102010000
1,燕山街道办事处
0,370102011001
1,111
2,仁合社区居委会
0,370102011002
1,111
2,十里河社区居委会
0,370102011003
1,111
2,友谊苑社区居委会
0,370102011004
1,111
2,三箭平安苑社区居委会
0,370102011005
1,111
2,中润世纪城社区居委会
0,370102011006
1,111
2,名士豪庭社区居委会
0,370102011007
1,111
2,华阳社区居委会
0,370102011008
1,111
2,现代逸城社区居委会
0,370102011009
1,111
2,蓝天苑社区居委会
0,370102011010
1,111
2,解放东路社区居委会
0,370102011011
1,111
2,名士豪庭第二社区居委会
0,370102011012
1,111
2,浆水泉路社区居民委员会
0,370102011013
1,111
2,万科城社区居委会
0,370102011014
1,111
2,化纤厂路社区居委会
0,370102011015
1,111
2,华能嘉苑社区居委会
0,370102011016
1,111
2,浆水泉西路社区居委会
0,370102011201
1,111
2,姚家村委会
0,370102011202
