,0
0,310101002001
1,111
2,云南中路居委会
0,310101002002
1,111
2,龙泉园路居委会
0,310101002003
1,111
2,贵州路居委会
0,310101002006
1,111
2,新桥居委会
0,310101002007
1,111
2,牛庄路居委会
0,310101002008
1,111
2,厦门路居委会
0,310101002009
1,111
2,福海居委会
0,310101002010
1,111
2,承兴居委会
0,310101002011
1,111
2,三德居委会
0,310101002013
1,111
2,福瑞居委会
0,310101002014
1,111
2,平望街居委会
0,310101002015
1,111
2,小花园居委会
0,310101002017
1,111
2,长江居委会
0,310101002018
1,111
2,江阴居委会
0,310101002019
1,111
2,均乐居委会
0,310101002020
1,111
2,新昌居委会
0,310101002021
1,111
2,振兴居委会
0,310101002022
1,111
2,定兴居委会
0,310101002023
1,111
2,顺天村居委会
0,310101002000
1,南京东路街道
0,310101013001
1,111
2,汉口路居委会
0,310101013003
1,111
2,北京居委会
0,310101013004
1,111
2,宁波路居委会
0,310101013005
1,111
2,无锡路居委会
0,310101013007
1,111
2,东风居委会
0,310101013008
1,111
2,山东北路居委会
0,310101013009
1,111
2,虎丘路居委会
0,310101013010
1,111
2,永安路居委会
0,310101013012
1,111
2,永胜路居委会
0,310101013014
1,111
2,中山东一路居委会
0,310101013015
1,111
2,盛泽居委会
0,310101013018
1,111
2,宝兴居委会
0,310101013019
1,111
2,昭通路居委会
0,310101013020
1,111
2,瑞福居委会
0,310101013021
1,111
2,云南居委会
0,310101013022
1,111
2,山西南路居委会
0,310101013023
1,111
2,新建二村居委会
0,310101013000
1,外滩街道
0,310101015002
1,111
2,民立居委会
0,310101015004
1,111
2,瞿四居委会
0,310101015005
1,111
2,西三居委会
0,310101015006
1,111
2,徽宁居委会
0,310101015010
1,111
2,高雄居委会
0,310101015011
1,111
2,瞿二居委会
0,310101015013
1,111
2,三门峡居委会
0,310101015014
1,111
2,市民居委会
0,310101015015
1,111
2,西一居委会
0,310101015016
1,111
2,制造居委会
0,310101015018
1,111
2,保屯居委会
0,310101015021
1,111
2,西二居委会
0,310101015022
1,111
2,耀江花园居委会
0,310101015023
1,111
2,黄浦新苑居委会
0,310101015024
1,111
2,迎勋居委会
0,310101015025
1,111
2,海西居委会
0,310101015026
1,111
2,益元居委会
0,310101015027
1,111
2,中福花苑第一居委会
0,310101015028
1,111
2,车中居委会
0,310101015029
1,111
2,普益居委会
0,310101015030
1,111
2,新村居委会
0,310101015031
1,111
2,中福花苑第二居委会
0,310101015000
1,半淞园路街道
0,310101017002
1,111
2,新码居委会
0,310101017003
1,111
2,龙潭居委会
0,310101017005
1,111
2,西姚居委会
0,310101017008
1,111
2,中华居委会
0,310101017009
1,111
2,白渡居委会
0,310101017010
1,111
2,天灯居委会
0,310101017011
1,111
2,小石桥居委会
0,310101017012
1,111
2,乔家居委会
0,310101017013
1,111
2,金坛居委会
0,310101017014
1,111
2,赵家宅居委会
0,310101017015
1,111
2,荷花池居委会
0,310101017016
1,111
2,阳光居委会
0,310101017019
1,111
2,多稼居委会
0,310101017021
1,111
2,万裕居委会
0,310101017024
1,111
2,府谷居委会
0,310101017025
1,111
2,桑园居委会
0,310101017000
1,小东门街道
0,310101018002
1,111
2,四新居委会
0,310101018003
1,111
2,宝带居委会
0,310101018005
1,111
2,光启居委会
0,310101018006
1,111
2,果育居委会
0,310101018007
1,111
2,侯家居委会
0,310101018008
1,111
2,太阳都市居委会
0,310101018011
1,111
2,丹马居委会
0,310101018012
1,111
2,学院居委会
0,310101018013
1,111
2,露香居委会
0,310101018016
1,111
2,广福居委会
0,310101018019
1,111
2,肇方居委会
0,310101018020
1,111
2,同庆居委会
0,310101018021
1,111
2,泰瑞居委会
0,310101018022
1,111
2,淮海居委会
0,310101018023
1,111
2,会稽居委会
0,310101018024
1,111
2,方西居委会
0,310101018025
1,111
2,古城居委会
0,310101018000
1,豫园街道
0,310101019005
1,111
2,大兴居委会
0,310101019013
1,111
2,大林居委会
0,310101019014
1,111
2,文庙居委会
0,310101019017
1,111
2,学宫街居委会
0,310101019018
1,111
2,曹家街居委会
