asin,天数,闪电特价
B00RW5TAWA,1631,"[13.95, 14.5, 12.9]"
B0716DNLCH,1016,[13.97]
B078YDH2KX,783,
B078YF6WX4,783,
B07DTXFKDM,618,
B07DTZ5LPY,628,
B07FG78ZZJ,628,
B07FG86LYB,618,
B07G8PD8WT,550,
B07JCHPP54,483,
B00RW5TAWU,1596,"[14.5, 14.5, 12.9, 11.9, 11.9]"
B00RW5TAZ2,1735,"[14.5, 14.5, 12.9, 11.9, 11.9, 10.9]"
B07F7JGKFH,381,
B07F7LPPT2,359,
B07F7NKTW1,352,
B07F7W7XVH,352,
B082YPZS9R,15,
B084VC1H5D,12,
